"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",37,"Jahleel Addae",25,"SS",13,12,195,"5-11","Central Michigan","1/24/1990","2",4,"","$586,668"
"2",13,"Keenan Allen",23,"WR",8,8,206,"6-2","California","4/27/1992","2",5,"San Diego Chargers / 3rd / 76th pick / 2013","$753,450"
"3",97,"Jeremiah Attaochu",22,"LB",15,12,252,"6-3","Georgia Tech","1/17/1993","1",6,"San Diego Chargers / 2nd / 50th pick / 2014","$955,250"
"4",72,"Joe Barksdale",26,"RT",16,16,313,"6-5","LSU","1/4/1989","4",9,"Oakland Raiders / 3rd / 92nd pick / 2011","$2,095,000"
"5",34,"Donald Brown",28,"rb",9,2,210,"5-11","Connecticut","4/11/1987","6",2,"Indianapolis Colts / 1st / 27th pick / 2009","$4,083,333"
"6",86,"Vincent Brown",26,"",1,0,184,"5-11","San Diego St.","1/25/1989","4",0,"San Diego Chargers / 3rd / 82nd pick / 2011",""
"7",78,"Tyreek Burwell",23,"",9,0,305,"6-5","SUNY Cortland; Cincinnati","3/11/1992","Rook",1,"","$112,200"
"8",56,"Donald Butler",27,"LB",16,9,244,"6-1","Washington","10/17/1988","4",5,"San Diego Chargers / 3rd / 79th pick / 2010","$5,480,000"
"9",92,"Ryan Carrethers",24,"nt",14,2,337,"6-1","Arkansas St.","2/26/1991","1",2,"San Diego Chargers / 5th / 165th pick / 2014","$554,633"
"10",10,"Kellen Clemens",32,"",2,0,224,"6-2","Oregon","6/6/1983","9",0,"New York Jets / 2nd / 49th pick / 2006","$1,822,500"
"11",53,"Kavell Conner",28,"lb",10,3,225,"6-1","Clemson","2/23/1987","5",2,"Indianapolis Colts / 7th / 240th pick / 2010","$840,000"
"12",30,"Matt Daniels",26,"",1,0,211,"6-1","Duke","5/5/1989","3",0,"",""
"13",33,"Greg Ducre",23,"db",4,1,184,"5-10","Washington","1/22/1992","1",0,"","$112,200"
"14",77,"King Dunlap",30,"lt",7,7,310,"6-8","Auburn","9/14/1985","7",4,"Philadelphia Eagles / 7th / 230th pick / 2008","$4,125,000"
"15",48,"Nick Dzubnar",24,"",16,0,240,"6-1","Cal Poly-San Luis Obispo","8/15/1991","Rook",1,"","$436,666"
"16",51,"Kyle Emanuel",24,"lb",15,3,255,"6-3","North Dakota St.","8/16/1991","Rook",2,"San Diego Chargers / 5th / 153rd pick / 2015","$489,643"
"17",24,"Brandon Flowers",29,"LCB",11,10,190,"5-10","Virginia Tech","2/18/1986","7",3,"Kansas City Chiefs / 2nd / 35th pick / 2008","$4,250,000"
"18",80,"Malcom Floyd",34,"WR",15,13,201,"6-5","Wyoming","9/8/1981","11",4,"","$4,716,668"
"19",76,"D.J. Fluker",24,"RG",12,12,339,"6-5","Alabama","3/13/1991","2",6,"San Diego Chargers / 1st / 11th pick / 2013","$3,109,771"
"20",74,"Orlando Franklin",28,"LG",10,10,315,"6-6","Miami (FL)","12/16/1987","4",4,"Denver Broncos / 2nd / 46th pick / 2011","$4,600,000"
"21",85,"Antonio Gates",35,"te",11,4,260,"6-4","Kent St.","6/18/1980","12",4,"","$8,374,264"
"22",28,"Melvin Gordon",22,"RB",14,13,207,"6-1","Wisconsin","4/13/1993","Rook",5,"San Diego Chargers / 1st / 15th pick / 2015","$1,939,958"
"23",89,"Ladarius Green",25,"TE",13,11,237,"6-6","La-Lafayette","5/29/1990","3",3,"San Diego Chargers / 4th / 110th pick / 2012","$772,725"
"24",75,"Chris Hairston",26,"LT",16,11,323,"6-6","Clemson","4/26/1989","4",6,"Buffalo Bills / 4th / 122nd pick / 2011","$685,000"
"25",81,"Javontee Herndon",24,"wr",8,2,197,"6-1","Arkansas","6/29/1991","1",1,"","$112,200"
"26",54,"Melvin Ingram",26,"LB",16,16,264,"6-1","South Carolina","4/26/1989","3",8,"San Diego Chargers / 1st / 18th pick / 2012","$2,672,166"
"27",15,"Dontrelle Inman",26,"wr",14,7,198,"6-3","Virginia","1/31/1989","1",3,"","$517,500"
"28",88,"David Johnson",28,"te",16,4,270,"6-2","Arkansas St.","8/26/1987","6",0,"Pittsburgh Steelers / 7th / 241st pick / 2009","$860,000"
"29",11,"Steve Johnson",29,"WR",10,8,210,"6-2","Kentucky","7/22/1986","7",3,"Buffalo Bills / 7th / 224th pick / 2008","$2,100,000"
"30",12,"Jacoby Jones",31,"",5,0,192,"6-3","Lane","7/11/1984","8",0,"Houston Texans / 3rd / 73rd pick / 2007","$1,700,000"
"31",2,"Josh Lambo",25,"",16,0,215,"6-0","Texas A&M","11/19/1990","Rook",3,"","$436,666"
"32",99,"Cordarro Law",27,"",14,0,254,"6-1","Southern Miss","10/15/1988","1",1,"","$510,000"
"33",70,"Jeff Linkenbach",28,"",1,0,303,"6-6","Cincinnati","6/9/1987","5",0,"",""
"34",98,"Sean Lissemore",28,"nt",11,5,286,"6-4","William & Mary","9/11/1987","5",3,"Dallas Cowboys / 7th / 234th pick / 2010","$1,250,000"
"35",94,"Corey Liuget",25,"DT",11,10,300,"6-3","Illinois","3/18/1990","4",5,"San Diego Chargers / 1st / 18th pick / 2011","$7,977,000"
"36",29,"Craig Mager",23,"cb",10,2,191,"6-0","Texas St.","6/11/1992","Rook",1,"San Diego Chargers / 3rd / 83rd pick / 2015","$600,394"
"37",90,"Ricardo Mathews",28,"dt",16,7,294,"6-3","Cincinnati","7/30/1987","5",4,"Indianapolis Colts / 7th / 238th pick / 2010","$920,000"
"38",57,"Joe Mays",30,"",9,0,245,"5-11","North Dakota St.","7/6/1985","7",1,"Philadelphia Eagles / 6th / 200th pick / 2008",""
"39",86,"Kyle Miller",27,"te",2,1,257,"6-5","Mount Union","4/18/1988","3",0,"","$510,000"
"40",70,"Michael Ola",27,"",2,0,278,"6-3","Hampton","4/19/1988","1",0,"","$112,200"
"41",43,"Branden Oliver",24,"rb",8,1,208,"5-7","Buffalo","5/7/1991","1",1,"","$510,000"
"42",52,"Denzel Perryman",22,"LB",14,9,244,"5-11","Miami (FL)","12/5/1993","Rook",5,"San Diego Chargers / 2nd / 48th pick / 2015","$868,449"
"43",31,"Adrian Phillips",23,"s",9,2,210,"5-11","Texas","3/28/1992","1",1,"","$112,200"
"44",83,"John Phillips",28,"te",16,5,250,"6-5","Virginia","6/11/1987","6",0,"Dallas Cowboys / 6th / 208th pick / 2009",""
"45",93,"Darius Philon",21,"",8,0,272,"6-2","Arkansas","1/22/1994","Rook",1,"San Diego Chargers / 6th / 192nd pick / 2015","$465,146"
"46",91,"Kendall Reyes",26,"DE",16,15,300,"6-4","Connecticut","9/26/1989","3",7,"San Diego Chargers / 2nd / 49th pick / 2012","$1,313,453"
"47",17,"Philip Rivers",34,"QB",16,16,228,"6-5","North Carolina St.","12/8/1981","11",12,"New York Giants / 1st / 4th pick / 2004","$21,166,668"
"48",26,"Patrick Robinson",28,"lcb",16,10,190,"5-11","Florida St.","9/7/1987","5",4,"New Orleans Saints / 1st / 32nd pick / 2010","$2,000,000"
"49",60,"Trevor Robinson",25,"C",15,13,310,"6-5","Notre Dame","5/16/1990","3",6,"","$825,000"
"50",27,"Brandian Ross",26,"",1,0,191,"6-0","Youngstown St.","9/28/1989","4",0,"",""
"51",5,"Mike Scifres",35,"",16,0,236,"6-2","West. Illinois","10/8/1980","12",2,"San Diego Chargers / 5th / 149th pick / 2003","$4,347,500"
"52",36,"Dreamius Smith",23,"",1,0,225,"5-11","Butler CC; West Virginia","9/8/1992","Rook",0,"",""
"53",71,"Damion Square",26,"dt",6,1,286,"6-3","Alabama","2/6/1989","2",1,"","$112,200"
"54",25,"Darrell Stuckey",28,"",14,0,205,"5-11","Kansas","6/16/1987","5",1,"San Diego Chargers / 4th / 110th pick / 2010","$1,433,750"
"55",50,"Manti Te'o",24,"LB",12,12,241,"6-1","Notre Dame","1/26/1991","2",6,"San Diego Chargers / 2nd / 38th pick / 2013","$1,410,660"
"56",96,"Mitch Unrein",28,"",2,0,270,"6-4","Wyoming","3/25/1987","4",0,"","$875,000"
"57",20,"Cassius Vaughn",28,"",1,0,195,"5-11","Mississippi","11/3/1987","5",0,"",""
"58",22,"Jason Verrett*",24,"RCB",14,14,189,"5-10","TCU","6/18/1991","1",8,"San Diego Chargers / 1st / 25th pick / 2014","$1,792,955"
"59",66,"J.D. Walton",28,"",4,0,299,"6-3","Baylor","3/24/1987","5",0,"Denver Broncos / 3rd / 80th pick / 2010",""
"60",65,"Chris Watt",25,"c",5,3,310,"6-3","Notre Dame","8/17/1990","1",1,"San Diego Chargers / 3rd / 89th pick / 2014","$663,535"
"61",32,"Eric Weddle",30,"FS",13,13,203,"5-11","Utah","1/4/1985","8",4,"San Diego Chargers / 2nd / 37th pick / 2007","$10,100,000"
"62",79,"Kenny Wiggins",27,"lg",15,8,314,"6-6","Fresno St.","8/8/1988","4",5,"",""
"63",23,"Steve Williams",24,"cb",14,2,181,"5-9","California","3/7/1991","2",2,"San Diego Chargers / 5th / 145th pick / 2013","$558,200"
"64",58,"Tourek Williams",24,"",3,0,260,"6-3","Florida International","5/9/1991","2",0,"San Diego Chargers / 6th / 179th pick / 2013","$612,515"
"65",6,"Tyrell Williams",23,"",4,0,205,"6-4","Western Oregon","2/12/1992","Rook",1,"","$436,166"
"66",27,"Jimmy Wilson",29,"ss",13,7,193,"5-11","Montana","7/30/1986","4",3,"Miami Dolphins / 7th / 235th pick / 2011","$2,250,000"
"67",47,"Mike Windt",29,"",15,0,251,"6-1","Cincinnati","5/29/1986","5",1,"","$882,500"
"68",39,"Danny Woodhead",30,"rb",16,1,200,"5-9","Chadron St.","1/25/1985","6",7,"","$2,500,000"
"69",NA,"Team Total",26.6,"",16,NA,243.9,"6-1.8","","","3.7",NA,"",""
