"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",64,"Ted Albrecht",23,"LT",14,12,253,"6-4","California","10/8/1954","Rook",6,"Chicago Bears / 1st / 15th pick / 1977"
"2",7,"Bob Avellini",24,"QB",14,14,208,"6-2","Maryland","8/28/1953","2",11,"Chicago Bears / 6th / 135th pick / 1975"
"3",84,"Brian Baschnagel",23,"KR",10,4,187,"5-11","Ohio St.","1/8/1954","1",2,"Chicago Bears / 3rd / 66th pick / 1976"
"4",25,"Art Best",24,"",14,0,205,"6-1","Notre Dame,Kent St.","3/18/1953","Rook",0,"Los Angeles Rams / 6th / 156th pick / 1977"
"5",81,"Chuck Bradley",27,"",7,0,243,"6-6","Oregon","10/13/1950","2",0,"Miami Dolphins / 2nd / 52nd pick / 1973"
"6",50,"Waymond Bryant",25,"RLB",13,12,236,"6-4","Tennessee St.","7/28/1952","3",8,"Chicago Bears / 1st / 4th pick / 1974"
"7",55,"Doug Buffone",33,"LLB",13,11,230,"6-3","Louisville","6/27/1944","11",7,"Chicago Bears / 4th / 60th pick / 1966, San Diego Chargers / 8th / 72nd pick / 1966"
"8",59,"Gary Campbell",25,"lb",14,2,218,"6-1","Colorado","3/4/1952","Rook",3,"Pittsburgh Steelers / 10th / 291st pick / 1976"
"9",60,"Wally Chambers",26,"dt",4,1,250,"6-6","East. Kentucky","5/15/1951","4",1,"Chicago Bears / 1st / 8th pick / 1973"
"10",43,"Craig Clemons",28,"",12,2,195,"5-11","Iowa","6/1/1949","5",2,"Chicago Bears / 1st / 12th pick / 1972"
"11",39,"Robin Earl",22,"te",14,3,242,"6-5","Washington","3/18/1955","Rook",2,"Chicago Bears / 3rd / 61st pick / 1977"
"12",48,"Allan Ellis*",26,"LCB",14,14,185,"5-11","UCLA","8/19/1951","4",11,"Chicago Bears / 5th / 107th pick / 1973"
"13",8,"Vince Evans",22,"",7,0,215,"6-2","USC","6/14/1955","Rook",0,"Chicago Bears / 6th / 140th pick / 1977"
"14",45,"Gary Fencik",23,"SS",14,14,194,"6-1","Yale","6/11/1954","1",7,"Miami Dolphins / 10th / 281st pick / 1976"
"15",82,"John Gilliam",32,"",2,0,195,"6-1","South Carolina St.","8/7/1945","10",0,"New Orleans Saints / 2nd / 52nd pick / 1967"
"16",35,"Roland Harper",24,"FB",11,10,208,"5-11","Louisiana Tech","2/28/1953","2",6,"Chicago Bears / 17th / 420th pick / 1975"
"17",73,"Mike Hartenstine",24,"LDE",14,11,251,"6-3","Penn St.","7/27/1953","2",8,"Chicago Bears / 2nd / 31st pick / 1975"
"18",54,"Tom Hicks",25,"MLB",12,5,235,"6-4","Illinois","12/18/1952","1",4,"Chicago Bears / 6th / 151st pick / 1975"
"19",65,"Noah Jackson",26,"LG",14,14,267,"6-2","Tampa","4/14/1951","2",7,"Baltimore Colts / 7th / 161st pick / 1974"
"20",62,"Dan Jiggetts",23,"",12,0,274,"6-4","Harvard","3/10/1954","1",3,"Chicago Bears / 6th / 161st pick / 1976"
"21",88,"Greg Latta",25,"TE",14,14,227,"6-3","Morgan St.","10/13/1952","2",5,"Baltimore Colts / 8th / 188th pick / 1974"
"22",70,"Dennis Lick",23,"RT",14,14,266,"6-3","Wisconsin","4/26/1954","1",7,"Chicago Bears / 1st / 8th pick / 1976"
"23",24,"Virgil Livers",25,"RCB",14,14,176,"5-8","West. Kentucky","3/26/1952","2",7,"Chicago Bears / 4th / 83rd pick / 1975"
"24",74,"Jerry Meyers",23,"",13,3,249,"6-4","Northern Illinois","2/21/1954","1",3,"Chicago Bears / 15th / 411th pick / 1976"
"25",58,"Jerry Muckensturm",24,"",14,4,223,"6-4","Arkansas St.","10/13/1953","1",3,"Chicago Bears / 7th / 190th pick / 1976"
"26",22,"Johnny Musso",27,"",14,1,201,"5-11","Alabama","3/6/1950","2",1,"Chicago Bears / 3rd / 62nd pick / 1972"
"27",52,"Dan Neal",28,"",14,0,250,"6-4","Kentucky","8/30/1949","4",3,"Baltimore Colts / 11th / 270th pick / 1973"
"28",87,"Billy Newsome",29,"RDE",14,14,250,"6-4","Grambling St.","3/2/1948","7",8,"Baltimore Colts / 5th / 122nd pick / 1970"
"29",68,"Jim Osborne",28,"LDT",14,12,250,"6-3","Southern","9/7/1949","5",7,"Chicago Bears / 7th / 182nd pick / 1972"
"30",86,"Bob Parsons",27,"P",14,0,234,"6-4","Penn St.","6/29/1950","5",3,"Chicago Bears / 5th / 117th pick / 1972"
"31",34,"Walter Payton*+",23,"RB",14,14,200,"5-10","Jackson St.","7/25/1954","2",20,"Chicago Bears / 1st / 4th pick / 1975"
"32",53,"Dan Peiffer",26,"C",14,14,252,"6-3","SE Missouri St.","3/29/1951","2",7,"St. Louis Cardinals / 14th / 346th pick / 1973"
"33",15,"Mike Phipps",30,"",3,0,208,"6-3","Purdue","11/19/1947","7",0,"Cleveland Browns / 1st / 3rd pick / 1970"
"34",46,"Doug Plank",24,"FS",11,11,200,"6-0","Ohio St.","3/4/1953","2",6,"Chicago Bears / 12th / 291st pick / 1975"
"35",80,"Bo Rather",27,"WR",13,9,184,"6-1","Michigan","10/7/1950","4",4,"Miami Dolphins / 4th / 104th pick / 1973"
"36",83,"Steve Rivera",23,"",3,0,184,"5-11","California","8/5/1954","1",0,"San Francisco 49ers / 4th / 100th pick / 1976"
"37",57,"Don Rives",26,"",14,9,225,"6-2","Texas Tech","8/30/1951","4",6,"Chicago Bears / 15th / 370th pick / 1973"
"38",51,"Mel Rogers",30,"",5,0,231,"6-2","Florida A&M","4/23/1947","6",3,""
"39",76,"Ron Rydalch",25,"RDT",14,14,260,"6-4","Utah","1/1/1952","2",8,"New York Jets / 8th / 197th pick / 1974"
"40",44,"Terry Schmidt",25,"db",10,1,177,"6-0","Ball St.","5/28/1952","3",1,"New Orleans Saints / 5th / 121st pick / 1974"
"41",85,"Steve Schubert",26,"PR",13,1,185,"5-10","Massachusetts","3/15/1951","3",3,""
"42",89,"James Scott",25,"WR",14,14,190,"6-1","Trinity Valley CC (TX)","3/28/1952","1",11,"New York Jets / 8th / 193rd pick / 1975"
"43",75,"Jeff Sevy",27,"t",12,2,260,"6-5","California","10/24/1950","2",2,"Chicago Bears / 12th / 290th pick / 1974"
"44",69,"Revie Sorey",24,"RG",14,14,260,"6-2","Illinois","9/10/1953","2",7,"Chicago Bears / 5th / 110th pick / 1975"
"45",47,"Mike Spivey",23,"",14,0,197,"6-0","Colorado","3/10/1954","Rook",3,"Chicago Bears / 2nd / 43rd pick / 1977"
"46",71,"Roger Stillwell",26,"",5,0,260,"6-5","Stanford","11/17/1951","2",4,"Chicago Bears / 9th / 212th pick / 1975"
"47",16,"Bob Thomas",25,"K",14,0,178,"5-10","Notre Dame","8/7/1952","2",2,"Los Angeles Rams / 15th / 388th pick / 1974"
"48",23,"Len Walterscheid",23,"",14,0,190,"5-11","Southern Utah","9/13/1954","Rook",3,""
"49",NA,"Team Total",25.4,"",14,NA,222.7,"6-1.9","","","2.6",NA,""
