"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",27,"Carl Allen",22,"db",14,4,185,"6-0","Southern Miss","12/21/1955","Rook",2,"Cincinnati Bengals / 11th / 299th pick / 1977"
"2",50,"Kurt Allerman",22,"",14,0,222,"6-3","Penn St.","8/30/1955","Rook",2,"St. Louis Cardinals / 3rd / 78th pick / 1977"
"3",61,"Henry Allison",30,"",8,0,255,"6-3","Col. of the Sequoias,San Diego St.","2/11/1947","6",3,"Philadelphia Eagles / 2nd / 50th pick / 1971"
"4",57,"Mark Arneson",28,"RLB",14,14,220,"6-2","Arizona","9/9/1949","5",6,"St. Louis Cardinals / 2nd / 32nd pick / 1972"
"5",61,"Dan Audick",23,"",2,0,252,"6-3","Hawaii","11/15/1954","Rook",2,"Pittsburgh Steelers / 4th / 106th pick / 1977"
"6",25,"Jim Bakken",37,"K",14,0,200,"5-11","Wisconsin","11/2/1940","15",3,"Los Angeles Rams / 7th / 88th pick / 1962"
"7",54,"Tom Banks*",29,"C",14,14,245,"6-1","Auburn","8/20/1948","6",10,"St. Louis Cardinals / 8th / 189th pick / 1970"
"8",79,"Bob Bell",29,"",7,4,250,"6-4","Cincinnati","1/25/1948","6",2,"Detroit Lions / 1st / 21st pick / 1971"
"9",58,"Tim Black",22,"",4,0,215,"6-2","Baylor","1/3/1955","Rook",2,"Detroit Lions / 7th / 179th pick / 1977"
"10",30,"Bill Bradley",30,"db",4,1,190,"5-11","Texas","1/24/1947","8",0,"Philadelphia Eagles / 3rd / 69th pick / 1969"
"11",51,"Tom Brahaney",26,"",14,0,245,"6-2","Oklahoma","10/23/1951","4",3,"St. Louis Cardinals / 5th / 109th pick / 1973"
"12",88,"J.V. Cain",26,"TE",13,13,224,"6-4","Colorado","7/22/1951","3",4,"St. Louis Cardinals / 1st / 7th pick / 1974"
"13",12,"Duane Carrell",28,"P",10,0,185,"5-10","Florida St.","10/3/1949","3",1,""
