"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",89,"Richard Alston",24,"",9,0,213,"6-0","East Carolina","11/20/1980","Rook",1,""
"2",59,"Kevin Bentley",25,"lb",16,3,245,"6-1","Northwestern","12/29/1979","2",3,"Cleveland Browns / 4th / 101st pick / 2002"
"3",28,"Leigh Bodden",23,"rcb",8,1,195,"6-1","Duquesne","9/24/1981","1",1,""
"4",92,"Courtney Brown",26,"de",2,2,285,"6-4","Penn St.","2/14/1978","4",1,"Cleveland Browns / 1st / 1st pick / 2000"
"5",27,"Dee Brown",26,"",5,0,209,"5-10","Syracuse","5/12/1978","2",0,"Carolina Panthers / 6th / 175th pick / 2001"
"6",81,"Antonio Bryant",23,"wr",10,7,192,"6-1","Pittsburgh","3/9/1981","2",4,"Dallas Cowboys / 2nd / 63rd pick / 2002"
"7",35,"Dyshod Carter",26,"",5,0,195,"5-10","Kansas St.","6/18/1978","3",1,""
"8",65,"Kirk Chambers",25,"",6,0,307,"6-7","Stanford","3/19/1979","Rook",0,"Cleveland Browns / 6th / 176th pick / 2004"
"9",48,"Sherrod Coates",26,"",5,0,225,"6-2","West. Kentucky","12/22/1978","1",0,""
"10",71,"Damion Cook",25,"rg",6,6,335,"6-5","Bethune-Cookman","4/16/1979","2",2,""
"11",25,"Chris Crocker",24,"fs",12,5,194,"5-11","Marshall","3/9/1980","1",3,"Cleveland Browns / 3rd / 84th pick / 2003"
"12",54,"Andra Davis",26,"MLB",11,11,255,"6-1","Florida","12/23/1978","2",6,"Cleveland Browns / 5th / 141st pick / 2002"
"13",87,"Andre' Davis",25,"wr",7,7,195,"6-1","Virginia Tech","6/12/1979","2",3,"Cleveland Browns / 2nd / 47th pick / 2002"
"14",4,"Phil Dawson",29,"",16,0,195,"5-11","Texas","1/23/1975","5",3,""
"15",70,"Enoch DeMar",24,"LG",15,11,317,"6-4","Indiana","9/7/1980","1",5,""
"16",74,"Nick Eason",24,"",1,0,301,"6-3","Clemson","5/29/1980","Rook",0,"Denver Broncos / 4th / 114th pick / 2003"
"17",23,"Adimchinobe Echemandu",24,"",4,0,225,"5-10","California","11/21/1980","Rook",0,"Cleveland Browns / 7th / 208th pick / 2004"
"18",98,"Ebenezer Ekuban",28,"DE",16,11,265,"6-3","North Carolina","5/29/1976","5",6,"Dallas Cowboys / 1st / 20th pick / 1999"
"19",50,"Jeff Faine",23,"C",13,13,303,"6-3","Notre Dame","4/6/1981","1",5,"Cleveland Browns / 1st / 21st pick / 2003"
"20",67,"Melvin Fowler",25,"c",15,3,310,"6-3","Maryland","3/31/1979","2",2,"Cleveland Browns / 3rd / 76th pick / 2002"
"21",8,"Derrick Frost",24,"",16,0,200,"6-4","Northern Iowa","11/25/1980","Rook",1,""
"22",5,"Jeff Garcia",34,"QB",11,10,195,"6-1","San Jose St.","2/24/1970","5",6,""
"23",55,"Barry Gardner",28,"mlb",14,5,245,"6-1","Northwestern","12/13/1976","5",3,"Philadelphia Eagles / 2nd / 35th pick / 1999"
"24",63,"Kelvin Garmon",28,"RG",8,8,350,"6-2","Baylor","10/26/1976","3",3,"Dallas Cowboys / 7th / 243rd pick / 1999"
"25",73,"Joaquin Gonzalez",25,"RT",16,11,310,"6-5","Miami (FL)","9/7/1979","2",5,"Cleveland Browns / 7th / 227th pick / 2002"
"26",94,"Amon Gordon",23,"",6,0,305,"6-2","Stanford","10/13/1981","Rook",0,"Cleveland Browns / 5th / 161st pick / 2004"
"27",31,"William Green",25,"RB",15,13,215,"6-0","Boston Col.","12/17/1979","2",4,"Cleveland Browns / 1st / 16th pick / 2002"
"28",24,"Robert Griffith",34,"SS",16,16,197,"5-11","San Diego St.","11/30/1970","10",7,""
"29",82,"Steve Heiden",28,"TE",13,13,265,"6-5","South Dakota St.","9/21/1976","5",2,"San Diego Chargers / 3rd / 69th pick / 1999"
"30",49,"Keith Heinrich",25,"",7,0,255,"6-5","Sam Houston St.","3/19/1979","2",0,"Carolina Panthers / 6th / 174th pick / 2002"
"31",37,"Anthony Henry",28,"LCB",15,14,205,"6-1","South Florida","11/3/1976","3",7,"Cleveland Browns / 4th / 97th pick / 2001"
"32",10,"Kelly Holcomb",31,"qb",4,2,212,"6-2","Middle Tenn. St.","7/9/1973","7",2,""
"33",57,"Warrick Holdman",29,"LB",16,14,234,"6-1","Texas A&M","11/22/1975","5",6,"Chicago Bears / 4th / 106th pick / 1999"
"34",90,"Corey Jackson",26,"",1,0,255,"6-6","Nevada","11/6/1978","Rook",0,""
"35",19,"Frisman Jackson",25,"",10,0,215,"6-3","West. Illinois","6/12/1979","2",1,""
"36",21,"James Jackson",28,"",4,0,215,"5-10","Miami (FL)","8/4/1976","3",1,"Cleveland Browns / 3rd / 65th pick / 2001"
"37",22,"Michael Jameson",25,"",16,0,205,"5-11","Texas A&M","7/14/1979","2",1,"Cleveland Browns / 6th / 165th pick / 2001"
"38",84,"Andre King",31,"wr",9,2,195,"5-11","Miami (FL)","11/26/1973","3",0,"Cleveland Browns / 7th / 245th pick / 2001"
"39",96,"Kenard Lang",29,"DE",16,15,280,"6-3","Miami (FL)","1/31/1975","7",8,"Washington Redskins / 1st / 17th pick / 1997"
"40",39,"Michael Lehan",25,"db",10,2,190,"6-0","Minnesota","11/25/1979","1",1,"Cleveland Browns / 5th / 152nd pick / 2003"
"41",20,"Earl Little",31,"FS",16,11,200,"6-1","Michigan,Miami (FL)","3/10/1973","6",5,""
"42",12,"Luke McCown",23,"qb",5,4,208,"6-3","Louisiana Tech","7/12/1981","Rook",2,"Cleveland Browns / 4th / 106th pick / 2004"
"43",33,"Daylon McCutcheon",28,"RCB",12,10,190,"5-10","USC","12/9/1976","5",5,"Cleveland Browns / 3rd / 62nd pick / 1999"
"44",97,"Alvin McKinley",26,"rdt",16,2,310,"6-3","Mississippi St.","6/9/1978","4",3,"Carolina Panthers / 4th / 120th pick / 2000"
"45",81,"Quincy Morgan",27,"wr",6,5,210,"6-1","Kansas St.","9/23/1977","3",1,"Cleveland Browns / 2nd / 33rd pick / 2001"
"46",88,"Chad Mustard",27,"",7,0,288,"6-6","North Dakota","10/8/1977","1",0,""
"47",93,"Michael Myers",28,"de",16,7,300,"6-2","Alabama","1/20/1976","6",4,"Dallas Cowboys / 4th / 100th pick / 1998"
"48",86,"Dennis Northcutt",27,"WR",16,11,175,"5-11","Arizona","12/22/1977","4",7,"Cleveland Browns / 2nd / 32nd pick / 2000"
"49",64,"Ryan Pontbriand",25,"",16,0,255,"6-2","Rice","10/1/1979","1",1,"Cleveland Browns / 5th / 142nd pick / 2003"
"50",78,"Tyrone Rogers",30,"",14,0,280,"6-5","Alabama St.","3/9/1974","5",0,""
"51",99,"Orpheus Roye",31,"RDT",15,14,320,"6-4","Florida St.","1/21/1973","8",6,"Pittsburgh Steelers / 6th / 200th pick / 1996"
"52",34,"Lewis Sanders",26,"rcb",16,5,210,"6-1","Maryland","6/22/1978","4",3,"Cleveland Browns / 4th / 95th pick / 2000"
"53",83,"Aaron Shea",28,"TE",15,8,255,"6-3","Michigan","12/5/1976","4",2,"Cleveland Browns / 4th / 110th pick / 2000"
"54",42,"Terrelle Smith",26,"FB",16,9,246,"6-0","Arizona St.","3/12/1978","4",0,"New Orleans Saints / 4th / 96th pick / 2000"
"55",44,"Lee Suggs",24,"rb",10,3,205,"6-0","Virginia Tech","8/11/1980","1",6,"Cleveland Browns / 4th / 115th pick / 2003"
"56",58,"Ben Taylor",26,"lb",3,2,245,"6-2","Virginia Tech","8/31/1978","2",1,"Cleveland Browns / 4th / 111th pick / 2002"
"57",51,"Chaun Thompson",24,"LB",16,13,250,"6-2","West Texas A&M","5/22/1980","1",6,"Cleveland Browns / 2nd / 52nd pick / 2003"
"58",72,"Ryan Tucker",29,"rt",7,7,325,"6-6","TCU","6/12/1975","7",3,"St. Louis Rams / 4th / 112th pick / 1997"
"59",53,"Mason Unck",24,"",11,0,235,"6-3","Arizona St.","3/30/1980","1",1,""
"60",77,"Ross Verba",31,"LT",16,16,308,"6-4","Iowa","10/31/1973","7",6,"Green Bay Packers / 1st / 30th pick / 1997"
"61",61,"Gerard Warren",26,"LDT",13,13,325,"6-4","Florida","7/25/1978","3",5,"Cleveland Browns / 1st / 3rd pick / 2001"
"62",56,"Eric Westmoreland",27,"",16,0,230,"6-0","Tennessee","3/11/1977","3",1,"Jacksonville Jaguars / 3rd / 73rd pick / 2001"
"63",80,"Kellen Winslow",21,"te",2,2,254,"6-4","Miami (FL)","7/21/1983","Rook",0,"Cleveland Browns / 1st / 6th pick / 2004"
"64",66,"Paul Zukauskas",25,"lg",14,5,320,"6-5","Boston Col.","7/12/1979","3",3,"Cleveland Browns / 7th / 203rd pick / 2001"
"65",NA,"Team Total",26.4,"",16,NA,247.6,"6-2.0","","","2.9",NA,""
