"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",70,"Jeff Adams",25,"",2,0,305,"6-5","Columbia","9/6/1989","2",0,""
"2",91,"Jason Ankrah",23,"",2,0,262,"6-3","Nebraska","2/26/1991","Rook",0,""
"3",37,"Josh Aubrey",23,"",2,0,200,"5-10","S.F. Austin","4/9/1991","1",0,""
"4",28,"Alfred Blue",23,"rb",16,3,223,"6-2","LSU","4/27/1991","Rook",4,"Houston Texans / 6th / 181st pick / 2014"
"5",34,"A.J. Bouye",23,"lcb",14,6,186,"6-0","Central Florida","8/16/1991","1",4,""
"6",79,"Brandon Brooks",25,"RG",15,15,343,"6-5","Miami (OH)","8/19/1989","2",7,"Houston Texans / 3rd / 76th pick / 2012"
"7",76,"Duane Brown*",29,"LT",16,16,318,"6-4","Virginia Tech","8/30/1985","6",10,"Houston Texans / 1st / 26th pick / 2008"
"8",22,"Ronnie Brown",33,"",3,0,233,"6-0","Auburn","12/12/1981","9",0,"Miami Dolphins / 1st / 2nd pick / 2005"
"9",98,"Keith Browner",26,"",3,0,276,"6-4","California","4/7/1988","2",0,""
"10",4,"Randy Bullock",25,"",16,0,205,"5-9","Texas A&M","12/16/1989","2",3,"Houston Texans / 5th / 161st pick / 2012"
"11",53,"Max Bullough",22,"",1,0,249,"6-4","Michigan St.","2/11/1992","Rook",0,""
"12",74,"Tyson Clabo",33,"",16,0,314,"6-6","Wake Forest","10/17/1981","8",1,""
"13",90,"Jadeveon Clowney",21,"lb",4,2,266,"6-5","South Carolina","2/14/1993","Rook",1,"Houston Texans / 1st / 1st pick / 2014"
"14",93,"Jared Crick",25,"DE",16,15,279,"6-4","Nebraska","8/21/1989","2",8,"Houston Texans / 4th / 126th pick / 2012"
"15",56,"Brian Cushing",27,"MLB",14,14,243,"6-3","USC","1/24/1987","5",7,"Houston Texans / 1st / 15th pick / 2009"
"16",81,"Anthony Denham",23,"",4,0,235,"6-5","Utah","7/21/1991","Rook",0,""
"17",50,"Akeem Dent",27,"lb",15,7,242,"6-1","Georgia","9/27/1987","3",4,"Atlanta Falcons / 3rd / 91st pick / 2011"
"18",91,"Zach Diles",29,"",1,0,240,"6-0","Kansas St.","6/11/1985","7",0,"Houston Texans / 7th / 218th pick / 2007"
"19",87,"C.J. Fiedorowicz",23,"TE",15,8,265,"6-6","Iowa","10/22/1991","Rook",0,"Houston Texans / 3rd / 65th pick / 2014"
"20",14,"Ryan Fitzpatrick",32,"QB",12,12,221,"6-2","Harvard","11/24/1982","9",9,"St. Louis Rams / 7th / 250th pick / 2005"
"21",23,"Arian Foster*",28,"RB",13,13,232,"6-0","Tennessee","8/24/1986","5",10,""
"22",88,"Garrett Graham",28,"TE",11,9,245,"6-3","Wisconsin","8/4/1986","4",2,"Houston Texans / 4th / 118th pick / 2010"
"23",84,"Ryan Griffin",24,"te",16,2,216,"6-6","Connecticut","1/11/1990","1",1,"Houston Texans / 6th / 201st pick / 2013"
"24",41,"Jonathan Grimes",25,"",16,0,207,"5-10","William & Mary","12/21/1989","2",2,""
"25",38,"Andre Hal",22,"",14,0,188,"5-10","Vanderbilt","5/30/1992","Rook",1,"Houston Texans / 7th / 216th pick / 2014"
"26",10,"DeAndre Hopkins",22,"WR",16,16,214,"6-1","Clemson","6/6/1992","1",10,"Houston Texans / 1st / 27th pick / 2013"
"27",25,"Kareem Jackson",26,"LCB",13,13,192,"5-10","Alabama","4/10/1988","4",6,"Houston Texans / 1st / 20th pick / 2010"
"28",96,"Tim Jamison",28,"nt",13,1,263,"6-3","Michigan","2/26/1986","5",2,""
"29",80,"Andre Johnson",33,"WR",15,15,219,"6-3","Miami (FL)","7/11/1981","11",8,"Houston Texans / 1st / 3rd pick / 2003"
"30",13,"Damaris Johnson",25,"WR",16,8,175,"5-8","Tulsa","11/22/1989","2",3,""
"31",60,"Ben Jones",25,"LG",16,16,304,"6-2","Georgia","7/2/1989","2",7,"Houston Texans / 4th / 99th pick / 2012"
"32",24,"Johnathan Joseph",30,"RCB",16,16,185,"5-11","South Carolina","4/16/1984","8",7,"Cincinnati Bengals / 1st / 24th pick / 2006"
"33",17,"Case Keenum",26,"qb",2,2,209,"6-2","Houston","2/17/1988","2",1,""
"34",9,"Shane Lechler",38,"",16,0,225,"6-2","Texas A&M","8/7/1976","14",3,"Oakland Raiders / 5th / 142nd pick / 2000"
"35",21,"Kendrick Lewis",26,"FS",16,16,205,"5-11","Mississippi","6/16/1988","4",7,"Kansas City Chiefs / 5th / 136th pick / 2010"
"36",43,"Elbert Mack",28,"",8,0,201,"6-1","Troy","7/14/1986","6",1,""
"37",15,"Ryan Mallett",26,"qb",3,2,240,"6-6","Arkansas","6/5/1988","3",1,"New England Patriots / 3rd / 74th pick / 2011"
"38",27,"Danieal Manning",32,"ss",16,5,205,"6-0","Abilene Christian","8/9/1982","8",3,"Chicago Bears / 2nd / 42nd pick / 2006"
"39",82,"Keshawn Martin",24,"",16,0,190,"5-10","Michigan St.","3/15/1990","2",1,"Houston Texans / 4th / 121st pick / 2012"
"40",59,"Whitney Mercilus",24,"LB",15,13,261,"6-3","Illinois","7/21/1990","2",7,"Houston Texans / 1st / 26th pick / 2012"
"41",54,"Mike Mohamed",26,"lb",14,2,238,"6-2","California","3/11/1988","3",3,"Denver Broncos / 6th / 189th pick / 2011"
"42",26,"Darryl Morris",24,"lcb",11,1,188,"5-10","Texas St.","9/4/1990","1",1,""
"43",55,"Chris Myers",33,"C",16,16,300,"6-5","Miami (FL)","9/15/1981","9",7,"Denver Broncos / 6th / 200th pick / 2005"
"44",75,"Derek Newton",27,"RT",16,16,311,"6-5","Arkansas St.","11/16/1987","3",7,"Houston Texans / 7th / 214th pick / 2011"
"45",97,"Jeoffrey Pagan",21,"",16,0,310,"6-4","Alabama","6/10/1993","Rook",1,"Houston Texans / 6th / 177th pick / 2014"
"46",94,"Ryan Pickett",35,"NT",13,13,310,"6-2","Ohio St.","10/8/1979","13",6,"St. Louis Rams / 1st / 29th pick / 2001"
"47",35,"Eddie Pleasant",26,"",14,0,208,"5-10","Oregon","12/17/1988","2",1,""
"48",11,"DeVier Posey",25,"wr",1,1,211,"6-1","Ohio St.","2/8/1989","2",0,"Houston Texans / 3rd / 68th pick / 2012"
"49",95,"Jerrell Powe",27,"nt",16,3,330,"6-2","Mississippi","3/15/1987","3",2,"Kansas City Chiefs / 6th / 199th pick / 2011"
