"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",5,"Dan Bailey*",27,"",16,0,198,"6-0","Oklahoma St.","1/26/1988","4",5,"","$2,500,000"
"2",11,"Cole Beasley",26,"wr",16,3,174,"5-8","SMU","4/26/1989","3",3,"","$2,000,000"
"3",73,"Mackenzy Bernadeau",29,"lg",16,1,292,"6-4","Bentley College","1/3/1986","7",1,"Carolina Panthers / 7th / 250th pick / 2008","$2,824,166"
"4",66,"Ken Bishop",25,"",2,0,306,"6-0","Northern Illinois","9/8/1990","1",0,"Dallas Cowboys / 7th / 251st pick / 2014","$510,000"
"5",78,"Charles Brown",28,"t",15,1,284,"6-5","USC","4/10/1987","5",1,"New Orleans Saints / 2nd / 64th pick / 2010","$550,588"
"6",88,"Dez Bryant",27,"WR",9,9,225,"6-2","Oklahoma St.","11/4/1988","5",3,"Dallas Cowboys / 1st / 24th pick / 2010","$7,000,000"
"7",19,"Brice Butler",25,"wr",7,2,215,"6-3","San Diego St.","1/29/1990","2",2,"Oakland Raiders / 7th / 209th pick / 2013","$550,588"
"8",39,"Brandon Carr",29,"LCB",16,16,207,"6-0","Grand Valley St.","5/19/1986","7",6,"Kansas City Chiefs / 5th / 140th pick / 2008","$12,717,000"
"9",16,"Matt Cassel",33,"qb",9,7,230,"6-5","USC","5/17/1982","10",1,"New England Patriots / 7th / 230th pick / 2005","$2,000,000"
"10",42,"Barry Church",27,"SS",15,15,222,"6-1","Toledo","2/11/1988","5",5,"","$3,250,000"
"11",24,"Morris Claiborne",25,"RCB",11,11,188,"5-11","LSU","2/7/1990","3",4,"Dallas Cowboys / 1st / 6th pick / 2012","$5,175,069"
"12",44,"Tyler Clutts",31,"fb",16,5,260,"6-2","Fresno St.","11/9/1984","4",0,"","$585,000"
"13",60,"Davon Coleman",24,"",2,0,276,"6-2","Arizona St.","1/11/1991","1",0,"","$510,000"
"14",71,"La'el Collins",22,"LG",12,11,308,"6-5","LSU","7/26/1993","Rook",4,"","$442,000"
