"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",28,"Justin Bethel",26,"CB",14,1,200,"6-0","Presbyterian","6/17/1990","4",NA,"Arizona Cardinals / 6th / 177th pick / 2012","$1,000,000"
"2",70,"Evan Boehm",23,"C",14,0,310,"6-2","Missouri","8/19/1993","Rook",NA,"Arizona Cardinals / 4th / 128th pick / 2016","$450,000"
"3",65,"Taylor Boggs",29,"C",3,1,285,"6-3","Humboldt St.","2/20/1987","5",NA,"","$675,000"
"4",30,"Elie Bouka",24,"CB",NA,NA,205,"6-1","","8/15/1992","Rook",NA,"","$450,000"
"5",27,"Tyvon Branch",30,"DB",7,5,197,"5-11","Connecticut","12/11/1986","8",NA,"Oakland Raiders / 4th / 100th pick / 2008","$1,250,000"
"6",46,"Aaron Brewer",26,"LS",11,0,225,"6-5","San Diego St.","7/5/1990","4",NA,"","$625,882"
"7",13,"Jaron Brown",26,"WR",7,2,205,"6-2","Clemson","1/8/1990","3",NA,"","$1,671,000"
"8",12,"John Brown",26,"WR",13,5,179,"0-0","Pittsburg St.","4/3/1990","2",NA,"Arizona Cardinals / 3rd / 91st pick / 2014","$612,000"
"9",20,"Deone Bucannon",24,"SS",13,13,220,"6-1","Washington St.","8/30/1992","2",NA,"Arizona Cardinals / 1st / 27th pick / 2014","$1,120,837"
"10",18,"Marquis Bundy",22,"WR",NA,NA,215,"6-4","","8/5/1994","Rook",NA,"","$158,820"
"11",93,"Calais Campbell",30,"DE",14,14,282,"6-8","Miami (FL)","9/1/1986","8",NA,"Arizona Cardinals / 2nd / 50th pick / 2008","$9,500,000"
"12",7,"Chandler Catanzaro",25,"K",14,0,200,"6-3","Clemson","2/26/1991","2",NA,"","$600,000"
"13",41,"Marcus Cooper",26,"CB",14,12,192,"6-2","Rutgers","2/1/1990","3",NA,"San Francisco 49ers / 7th / 252nd pick / 2013","$675,000"
"14",4,"Zac Dysert",26,"QB",NA,NA,231,"6-3","Miami (OH)","2/8/1990","3",NA,"Denver Broncos / 7th / 234th pick / 2013","$401,466"
"15",38,"Andre Ellington",27,"RB",14,0,199,"5-10","Clemson","2/3/1989","3",NA,"Arizona Cardinals / 6th / 187th pick / 2013","$1,671,000"
"16",85,"Darren Fells",30,"TE",12,7,281,"6-7","UC Irvine","4/22/1986","3",NA,"","$600,000"
"17",11,"Larry Fitzgerald",33,"WR",14,14,225,"6-3","Pittsburgh","8/31/1983","12",NA,"Arizona Cardinals / 1st / 3rd pick / 2004","$11,000,000"
"18",59,"Alani Fua",24,"OLB",3,0,228,"6-5","BYU","1/1/1992","1",NA,"","$525,000"
"19",10,"Brittan Golden",28,"WR",10,0,186,"5-11","West Texas A&M","7/20/1988","4",NA,"","$458,823"
"20",44,"Markus Golden",25,"OLB",14,3,255,"6-2","Missouri","3/13/1991","1",NA,"Arizona Cardinals / 2nd / 58th pick / 2015","$613,106"
"21",52,"Zaviar Gooden",26,"OLB",5,0,234,"6-2","Missouri","8/31/1990","3",NA,"Tennessee Titans / 3rd / 97th pick / 2013","$600,000"
