"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","Peyton Manning",39,17,9,"198 for 331, 2,249 yards, 9 td, 17 int, & 6 rushes for -6 yards and 0 td","Indianapolis Colts / 1st / 1st pick / 1998"
"3","RB","Ronnie Hillman",24,3,11,"207 rushes for 863 yards, 7 td, & 24 catches for 111 yards and 0 td","Denver Broncos / 3rd / 67th pick / 2012"
"4","WR","Emmanuel Sanders",28,5,15,"76 catches for 1,135 yards, 6 td, & 3 rushes for 29 yards and 0 td","Pittsburgh Steelers / 3rd / 82nd pick / 2010"
"5","WR","Demaryius Thomas",28,5,16,"105 catches for 1,304 yards, 6 td","Denver Broncos / 1st / 22nd pick / 2010"
"6","TE","Owen Daniels",33,9,16,"46 catches for 517 yards, 3 td","Houston Texans / 4th / 98th pick / 2006"
"7","LT","Ryan Harris",30,8,16,"","Denver Broncos / 3rd / 70th pick / 2007"
"8","LG","Evan Mathis",34,10,12,"","Carolina Panthers / 3rd / 79th pick / 2005"
"9","C","Matt Paradis",26,1,16,"","Denver Broncos / 6th / 207th pick / 2014"
"10","RG","Louis Vasquez",28,6,15,"","San Diego Chargers / 3rd / 78th pick / 2009"
"11","RT","Michael Schofield",25,1,13,"","Denver Broncos / 3rd / 95th pick / 2014"
"12","","Defensive Starters",NA,NA,NA,"",""
"13","DE","Malik Jackson",25,3,16,"","Denver Broncos / 5th / 137th pick / 2012"
"14","DE","Derek Wolfe",25,3,12,"","Denver Broncos / 2nd / 36th pick / 2012"
"15","NT","Sylvester Williams",27,2,15,"2.5 sacks, 0 interceptions, 0 fumbles recovered","Denver Broncos / 1st / 28th pick / 2013"
"16","LB","Brandon Marshall",26,3,16,"","Jacksonville Jaguars / 5th / 142nd pick / 2012"
"17","LB","Von Miller*+",26,4,16,"","Denver Broncos / 1st / 2nd pick / 2011"
"18","LB","Danny Trevathan",25,3,15,"","Denver Broncos / 6th / 188th pick / 2012"
"19","LB","DeMarcus Ware*",33,10,10,"","Dallas Cowboys / 1st / 11th pick / 2005"
"20","LCB","Aqib Talib*",29,7,15,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Tampa Bay Buccaneers / 1st / 20th pick / 2008"
"21","RCB","Chris Harris*",26,4,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered",""
"22","SS","T.J. Ward",29,5,12,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Cleveland Browns / 2nd / 38th pick / 2010"
"23","FS","Darian Stewart",27,5,13,"0.0 sacks, 1 interception, 2 fumbles recovered",""
