"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Charlie Batch",27,"3",9,"198 for 341, 2,392 yards, 12 td, 12 int, & 12 rushes for 45 yards and 0 td","Detroit Lions / 2nd / 60th pick / 1998"
"3","RB","James Stewart",30,"6",10,"143 rushes for 685 yards, 1 td, & 23 catches for 242 yards and 1 td","Jacksonville Jaguars / 1st / 19th pick / 1995"
"4","FB","Cory Schlesinger",29,"6",13,"47 rushes for 154 yards, 3 td, & 60 catches for 466 yards and 0 td","Detroit Lions / 6th / 192nd pick / 1995"
"5","WR","Johnnie Morton",30,"7",16,"77 catches for 1,154 yards, 4 td, & 1 rush for 6 yards and 0 td","Detroit Lions / 1st / 21st pick / 1994"
"6","TE","David Sloan",29,"6",15,"37 catches for 409 yards, 7 td","Detroit Lions / 3rd / 70th pick / 1995"
"7","LT","Jeff Backus",24,"Rook",16,"","Detroit Lions / 1st / 18th pick / 2001"
"8","LG","Tony Semple",31,"6",12,"","Detroit Lions / 5th / 154th pick / 1994"
"9","C","Eric Beverly",27,"3",16,"",""
"10","RG","Brendan Stai",29,"6",16,"","Pittsburgh Steelers / 3rd / 91st pick / 1995"
"11","RT","Matt Joyce",29,"6",12,"2 fumbles recovered",""
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Robert Porcher*",32,"9",16,"","Detroit Lions / 1st / 26th pick / 1992"
"14","DE","Tracy Scroggins",32,"9",16,"","Detroit Lions / 2nd / 53rd pick / 1992"
"15","DT","Luther Elliss",28,"6",13,"","Detroit Lions / 1st / 20th pick / 1995"
"16","NT","Shaun Rogers",22,"Rook",16,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Detroit Lions / 2nd / 61st pick / 2001"
"17","LOLB","Allen Aldridge",29,"7",16,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Denver Broncos / 2nd / 51st pick / 1994"
"18","MLB","Chris Claiborne",23,"2",16,"4.0 sacks, 2 interceptions, 1 fumble recovered","Detroit Lions / 1st / 9th pick / 1999"
"19","ROLB","Barrett Green",24,"1",10,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Detroit Lions / 2nd / 50th pick / 2000"
"20","LCB","Todd Lyght",32,"10",16,"0.0 sacks, 4 interceptions, 1 fumble recovered","Los Angeles Rams / 1st / 5th pick / 1991"
"21","RCB","Terry Fair",25,"3",12,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Detroit Lions / 1st / 20th pick / 1998"
"22","SS","Ron Rice",29,"5",8,"1.0 sacks, 2 interceptions, 0 fumbles recovered",""
"23","FS","Kurt Schulz",33,"9",10,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Buffalo Bills / 7th / 195th pick / 1992"
