"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Andy Dalton",26,"2",16,"363 for 586, 4,293 yards, 33 td, 20 int, & 61 rushes for 183 yards and 2 td","Cincinnati Bengals / 2nd / 35th pick / 2011"
"3","RB","BenJarvus Green-Ellis",28,"5",16,"220 rushes for 756 yards, 7 td, & 4 catches for 22 yards and 0 td",""
"4","WR","A.J. Green*",25,"2",16,"98 catches for 1,426 yards, 11 td","Cincinnati Bengals / 1st / 4th pick / 2011"
"5","WR","Mohamed Sanu",24,"1",14,"47 catches for 455 yards, 2 td, & 4 rushes for 16 yards and 0 td","Cincinnati Bengals / 3rd / 83rd pick / 2012"
"6","TE","Tyler Eifert",23,"Rook",15,"39 catches for 445 yards, 2 td","Cincinnati Bengals / 1st / 21st pick / 2013"
"7","TE","Jermaine Gresham",25,"3",14,"46 catches for 458 yards, 4 td","Cincinnati Bengals / 1st / 21st pick / 2010"
"8","LG","Clint Boling",24,"2",12,"","Cincinnati Bengals / 4th / 101st pick / 2011"
"9","C","Kyle Cook",30,"5",16,"",""
"10","RG","Kevin Zeitler",23,"1",11,"","Cincinnati Bengals / 1st / 27th pick / 2012"
"11","RT","Andre Smith",26,"4",15,"","Cincinnati Bengals / 1st / 6th pick / 2009"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Carlos Dunlap",24,"3",15,"","Cincinnati Bengals / 2nd / 54th pick / 2010"
"14","DE","Michael Johnson",26,"4",15,"","Cincinnati Bengals / 3rd / 70th pick / 2009"
"15","DT","Geno Atkins",25,"3",9,"","Cincinnati Bengals / 4th / 120th pick / 2010"
"16","NT","Domata Peko",29,"7",16,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Cincinnati Bengals / 4th / 123rd pick / 2006"
"17","MLB","Rey Maualuga",26,"4",13,"1.0 sacks, 1 interception, 0 fumbles recovered","Cincinnati Bengals / 2nd / 38th pick / 2009"
"18","LB","Vontaze Burfict*",23,"1",16,"",""
"19","LB","James Harrison",35,"11",10,"",""
"20","LCB","Terence Newman",35,"10",13,"0.0 sacks, 2 interceptions, 1 fumble recovered","Dallas Cowboys / 1st / 5th pick / 2003"
"21","RCB","Adam Jones",30,"8",13,"0.0 sacks, 3 interceptions, 2 fumbles recovered","Tennessee Titans / 1st / 6th pick / 2005"
"22","SS","George Iloka",23,"1",16,"0.0 sacks, 1 interception, 1 fumble recovered","Cincinnati Bengals / 5th / 167th pick / 2012"
"23","FS","Reggie Nelson",30,"6",15,"1.0 sacks, 2 interceptions, 2 fumbles recovered","Jacksonville Jaguars / 1st / 21st pick / 2007"
