"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Ryan Fitzpatrick",29,"6",16,"353 for 569, 3,832 yards, 24 td, 23 int, & 56 rushes for 215 yards and 0 td","St. Louis Rams / 7th / 250th pick / 2005"
"3","RB","Fred Jackson",30,"4",10,"170 rushes for 934 yards, 6 td, & 39 catches for 442 yards and 0 td",""
"4","RB","C.J. Spiller",24,"1",11,"107 rushes for 561 yards, 4 td, & 39 catches for 269 yards and 2 td","Buffalo Bills / 1st / 9th pick / 2010"
"5","WR","Steve Johnson",25,"3",16,"76 catches for 1,004 yards, 7 td","Buffalo Bills / 7th / 224th pick / 2008"
"6","WR","David Nelson",25,"1",13,"61 catches for 658 yards, 5 td",""
"7","TE","Scott Chandler",26,"4",9,"38 catches for 389 yards, 6 td","San Diego Chargers / 4th / 129th pick / 2007"
"8","LG","Andy Levitre",25,"2",16,"","Buffalo Bills / 2nd / 51st pick / 2009"
"9","C","Eric Wood",25,"2",9,"","Buffalo Bills / 1st / 28th pick / 2009"
"10","RG","Chad Rinehart",26,"3",12,"1 fumble recovered","Washington Redskins / 3rd / 96th pick / 2008"
"11","RG","Kraig Urbik",26,"2",13,"","Pittsburgh Steelers / 3rd / 79th pick / 2009"
"12","RT","Erik Pears",29,"5",16,"1 fumble recovered",""
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Dwan Edwards",30,"7",13,"","Baltimore Ravens / 2nd / 51st pick / 2004"
"15","NT","Marcell Dareus",21,"Rook",15,"5.5 sacks, 0 interceptions, 1 fumble recovered","Buffalo Bills / 1st / 3rd pick / 2011"
"16","MLB","Kelvin Sheppard",23,"Rook",9,"0.0 sacks, 0 interceptions, 1 fumble recovered","Buffalo Bills / 3rd / 68th pick / 2011"
"17","LB","Nick Barnett",30,"8",16,"","Green Bay Packers / 1st / 29th pick / 2003"
"18","LB","Spencer Johnson",30,"7",11,"",""
"19","LB","Chris Kelsay",32,"8",12,"","Buffalo Bills / 2nd / 48th pick / 2003"
"20","RCB","Drayton Florence",31,"8",16,"0.0 sacks, 3 interceptions, 1 fumble recovered","San Diego Chargers / 2nd / 46th pick / 2003"
"21","SS","George Wilson",30,"6",13,"0.0 sacks, 4 interceptions, 1 fumble recovered",""
"22","FS","Jairus Byrd",25,"2",16,"1.0 sacks, 3 interceptions, 1 fumble recovered","Buffalo Bills / 2nd / 42nd pick / 2009"
