"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Boomer Esiason*",28,"5",15,"258 for 455, 3,525 yards, 28 td, 11 int, & 47 rushes for 278 yards and 0 td","Cincinnati Bengals / 2nd / 38th pick / 1984"
"3","RB","James Brooks*",31,"8",14,"221 rushes for 1,239 yards, 7 td, & 37 catches for 306 yards and 2 td","San Diego Chargers / 1st / 24th pick / 1981"
"4","FB","Eric Ball",23,"Rook",9,"98 rushes for 391 yards, 3 td, & 6 catches for 44 yards and 0 td","Cincinnati Bengals / 2nd / 35th pick / 1989"
"5","WR","Eddie Brown",27,"4",15,"52 catches for 814 yards, 6 td","Cincinnati Bengals / 1st / 13th pick / 1985"
"6","WR","Tim McGee",25,"3",16,"65 catches for 1,211 yards, 8 td, & 2 rushes for 36 yards and 0 td","Cincinnati Bengals / 1st / 21st pick / 1986"
"7","TE","Rodney Holman*",29,"7",15,"50 catches for 736 yards, 9 td","Cincinnati Bengals / 3rd / 82nd pick / 1982"
"8","LT","Anthony Munoz*+",31,"9",16,"2 fumbles recovered","Cincinnati Bengals / 1st / 3rd pick / 1980"
"9","LG","Bruce Reimers",29,"5",15,"","Cincinnati Bengals / 8th / 204th pick / 1984"
"10","C","Bruce Kozerski",27,"5",15,"1 fumble recovered","Cincinnati Bengals / 9th / 231st pick / 1984"
"11","RG","Max Montoya*",33,"10",15,"","Cincinnati Bengals / 7th / 168th pick / 1979"
"12","RT","Brian Blados",27,"5",10,"","Cincinnati Bengals / 1st / 28th pick / 1984"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Jim Skow",26,"3",11,"4.5 sacks, 0 interceptions, 0 fumbles recovered","Cincinnati Bengals / 3rd / 58th pick / 1986"
"15","NT","Tim Krumrie",29,"6",16,"3.0 sacks, 0 interceptions, 1 fumble recovered","Cincinnati Bengals / 10th / 276th pick / 1983"
"16","RDE","Jason Buck",26,"2",16,"6.0 sacks, 0 interceptions, 1 fumble recovered","Cincinnati Bengals / 1st / 17th pick / 1987"
"17","LOLB","Leon White",26,"3",16,"2.0 sacks, 1 interception, 2 fumbles recovered","Cincinnati Bengals / 5th / 123rd pick / 1986"
"18","LILB","Carl Zander",26,"4",16,"1.5 sacks, 0 interceptions, 1 fumble recovered","Cincinnati Bengals / 2nd / 43rd pick / 1985"
"19","RILB","Joe Kelly",25,"3",16,"1.0 sacks, 1 interception, 3 fumbles recovered","Cincinnati Bengals / 1st / 11th pick / 1986"
"20","ROLB","Reggie Williams",35,"13",16,"3.5 sacks, 0 interceptions, 0 fumbles recovered","Cincinnati Bengals / 3rd / 82nd pick / 1976"
"21","LCB","Lewis Billups",26,"3",16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Cincinnati Bengals / 2nd / 38th pick / 1986"
"22","RCB","Eric Thomas",25,"2",15,"2.0 sacks, 4 interceptions, 1 fumble recovered","Cincinnati Bengals / 2nd / 49th pick / 1987"
"23","SS","David Fulcher*+",25,"3",16,"0.0 sacks, 8 interceptions, 4 fumbles recovered","Cincinnati Bengals / 3rd / 78th pick / 1986"
"24","FS","Rickey Dixon",23,"1",16,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Cincinnati Bengals / 1st / 5th pick / 1988"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Jim Breech",33,"10",0,"12 of 14 field goals & 37 of 38 extra points","Detroit Lions / 8th / 206th pick / 1978"
"27","P","Lee Johnson",28,"4",0,"61 punts for a 40.1 average, 2 blocked","Houston Oilers / 5th / 138th pick / 1985"
"28","PR","Mike Martin",29,"6",0,"15 punt returns for a 7.1 average and 0 td","Cincinnati Bengals / 8th / 221st pick / 1983"
"29","KR","Stanford Jennings",27,"5",6,"26 kick returns for a 20.2 average and 0 td","Cincinnati Bengals / 3rd / 65th pick / 1984"
