"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Jim Kelly*",27,"1",12,"250 for 419, 2,798 yards, 19 td, 11 int, & 29 rushes for 133 yards and 0 td","Buffalo Bills / 1st / 14th pick / 1983"
"3","RB","Ronnie Harmon",23,"1",10,"116 rushes for 485 yards, 2 td, & 56 catches for 477 yards and 2 td","Buffalo Bills / 1st / 16th pick / 1986"
"4","FB","Carl Byrum",24,"1",8,"66 rushes for 280 yards, 0 td, & 3 catches for 23 yards and 0 td","Buffalo Bills / 5th / 111th pick / 1986"
"5","WR","Chris Burkett",25,"2",12,"56 catches for 765 yards, 4 td","Buffalo Bills / 2nd / 42nd pick / 1985"
"6","WR","Andre Reed",23,"2",12,"57 catches for 752 yards, 5 td, & 1 rush for 1 yards and 0 td","Buffalo Bills / 4th / 86th pick / 1985"
"7","TE","Pete Metzelaars",27,"5",12,"28 catches for 290 yards, 0 td","Seattle Seahawks / 3rd / 75th pick / 1982"
"8","LT","Will Wolford",23,"1",9,"","Buffalo Bills / 1st / 20th pick / 1986"
"9","LG","Jim Ritcher",29,"7",12,"","Buffalo Bills / 1st / 16th pick / 1980"
"10","C","Kent Hull",26,"1",12,"",""
"11","RG","Tim Vogler",31,"8",12,"2 fumbles recovered",""
"12","RT","Joe Devlin",33,"11",12,"","Buffalo Bills / 2nd / 52nd pick / 1976"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Sean McNanie",26,"3",12,"2.5 sacks, 0 interceptions, 1 fumble recovered","Buffalo Bills / 3rd / 79th pick / 1984"
"15","NT","Fred Smerlas",30,"8",12,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Buffalo Bills / 2nd / 32nd pick / 1979"
"16","RDE","Bruce Smith*+",24,"2",12,"12.0 sacks, 0 interceptions, 2 fumbles recovered","Buffalo Bills / 1st / 1st pick / 1985"
"17","LOLB","Cornelius Bennett",22,"Rook",7,"8.5 sacks, 0 interceptions, 0 fumbles recovered","Indianapolis Colts / 1st / 2nd pick / 1987"
"18","LILB","Shane Conlan",23,"Rook",12,"0.5 sacks, 0 interceptions, 0 fumbles recovered","Buffalo Bills / 1st / 8th pick / 1987"
"19","RILB","Scott Radecic",25,"3",9,"0.0 sacks, 2 interceptions, 2 fumbles recovered","Kansas City Chiefs / 2nd / 34th pick / 1984"
"20","ROLB","Darryl Talley",27,"4",12,"1.0 sacks, 0 interceptions, 1 fumble recovered","Buffalo Bills / 2nd / 39th pick / 1983"
"21","LCB","Derrick Burroughs",25,"2",12,"0.0 sacks, 2 interceptions, 1 fumble recovered","Buffalo Bills / 1st / 14th pick / 1985"
"22","RCB","Nate Odomes",22,"Rook",12,"0.0 sacks, 0 interceptions, 2 fumbles recovered","Buffalo Bills / 2nd / 29th pick / 1987"
"23","SS","Dwight Drane",25,"1",6,"1.0 sacks, 0 interceptions, 1 fumble recovered","Buffalo Bills / 1st / 14th pick / 1984 Supp"
"24","FS","Mark Kelso",24,"1",12,"0.0 sacks, 6 interceptions, 2 fumbles recovered","Philadelphia Eagles / 10th / 261st pick / 1985"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Scott Norwood",27,"2",0,"10 of 15 field goals & 31 of 31 extra points",""
"27","P","John Kidd",26,"3",0,"64 punts for a 39.0 average, 0 blocked","Buffalo Bills / 5th / 128th pick / 1984"
"28","PR","Ron Pitts",25,"1",3,"23 punt returns for a 6.5 average and 0 td","Buffalo Bills / 7th / 169th pick / 1985"
"29","KR","Steve Tasker*",25,"2",0,"11 kick returns for a 17.9 average and 0 td","Houston Oilers / 9th / 226th pick / 1985"
