"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Warren Moon*",36,"8",10,"224 for 346, 2,521 yards, 18 td, 12 int, & 27 rushes for 147 yards and 1 td",""
"3","RB","Lorenzo White*",26,"4",16,"265 rushes for 1,226 yards, 7 td, & 57 catches for 641 yards and 1 td","Houston Oilers / 1st / 22nd pick / 1988"
"4","WR","Curtis Duncan*",27,"5",16,"82 catches for 954 yards, 1 td","Houston Oilers / 10th / 258th pick / 1987"
"5","WR","Ernest Givins*",28,"6",16,"67 catches for 787 yards, 10 td, & 7 rushes for 75 yards and 0 td","Houston Oilers / 2nd / 34th pick / 1986"
"6","WR","Haywood Jeffires*",28,"5",16,"90 catches for 913 yards, 9 td","Houston Oilers / 1st / 20th pick / 1987"
"7","WR","Webster Slaughter",28,"6",9,"39 catches for 486 yards, 4 td, & 3 rushes for 20 yards and 0 td","Cleveland Browns / 2nd / 43rd pick / 1986"
"8","LT","Don Maggs",31,"6",14,"","Houston Oilers / 2nd / 29th pick / 1984 Supp"
"9","LG","Mike Munchak*",32,"10",14,"","Houston Oilers / 1st / 8th pick / 1982"
"10","C","Bruce Matthews*+",31,"9",16,"","Houston Oilers / 1st / 9th pick / 1983"
"11","RG","Doug Dawson",31,"8",16,"1 fumble recovered","St. Louis Cardinals / 2nd / 45th pick / 1984"
"12","RT","David Williams",26,"3",16,"1 fumble recovered","Houston Oilers / 1st / 23rd pick / 1989"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","William Fuller",30,"6",14,"8.0 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 1st / 21st pick / 1984 Supp"
"15","LDT","Ray Childress*+",30,"7",16,"13.0 sacks, 0 interceptions, 2 fumbles recovered","Houston Oilers / 1st / 3rd pick / 1985"
"16","RDT","Jeff Alm",24,"2",7,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Houston Oilers / 2nd / 41st pick / 1990"
"17","RDE","Sean Jones",30,"8",15,"8.5 sacks, 1 interception, 0 fumbles recovered","Los Angeles Raiders / 2nd / 51st pick / 1984"
"18","LLB","Lamar Lathon",25,"2",11,"1.5 sacks, 0 interceptions, 0 fumbles recovered","Houston Oilers / 1st / 15th pick / 1990"
"19","MLB","Al Smith*+",28,"5",16,"1.0 sacks, 1 interception, 0 fumbles recovered","Houston Oilers / 6th / 147th pick / 1987"
"20","RLB","Eddie Robinson",22,"Rook",11,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Houston Oilers / 2nd / 50th pick / 1992"
"21","LCB","Cris Dishman",27,"4",15,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Houston Oilers / 5th / 125th pick / 1988"
"22","RCB","Jerry Gray",30,"7",16,"0.0 sacks, 6 interceptions, 2 fumbles recovered","Los Angeles Rams / 1st / 21st pick / 1985"
"23","SS","Bubba McDowell",26,"3",16,"1.5 sacks, 3 interceptions, 0 fumbles recovered","Houston Oilers / 3rd / 77th pick / 1989"
"24","FS","Marcus Robertson",23,"1",14,"0.0 sacks, 1 interception, 0 fumbles recovered","Houston Oilers / 4th / 102nd pick / 1991"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Al Del Greco",30,"8",0,"21 of 27 field goals & 41 of 41 extra points",""
"27","P","Greg Montgomery",28,"4",0,"53 punts for a 46.9 average, 2 blocked","Houston Oilers / 3rd / 72nd pick / 1988"
"28","PR","Webster Slaughter",28,"6",9,"20 punt returns for a 7.1 average and 0 td","Cleveland Browns / 2nd / 43rd pick / 1986"
"29","KR","Pat Coleman",25,"2",0,"14 kick returns for a 20.7 average and 0 td","Houston Oilers / 9th / 237th pick / 1990"
