"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Drew Brees*+",27,"5",16,"356 for 554, 4,418 yards, 26 td, 11 int, & 42 rushes for 32 yards and 0 td","San Diego Chargers / 2nd / 32nd pick / 2001"
"3","RB","Deuce McAllister",28,"5",13,"244 rushes for 1,057 yards, 10 td, & 30 catches for 198 yards and 0 td","New Orleans Saints / 1st / 23rd pick / 2001"
"4","WR","Marques Colston",23,"Rook",12,"70 catches for 1,038 yards, 8 td","New Orleans Saints / 7th / 252nd pick / 2006"
"5","WR","Joe Horn",34,"10",9,"37 catches for 679 yards, 4 td","Kansas City Chiefs / 5th / 135th pick / 1996"
"6","TE","Mark Campbell",31,"7",10,"18 catches for 164 yards, 0 td",""
"7","LT","Jammal Brown*+",25,"1",15,"1 fumble recovered","New Orleans Saints / 1st / 13th pick / 2005"
"8","LG","Jamar Nesbit",30,"7",16,"",""
"9","C","Jeff Faine",25,"3",16,"1 fumble recovered","Cleveland Browns / 1st / 21st pick / 2003"
"10","RG","Jahri Evans",23,"Rook",16,"2 fumbles recovered","New Orleans Saints / 4th / 108th pick / 2006"
"11","RT","Jon Stinchcomb",27,"3",16,"1 fumble recovered","New Orleans Saints / 2nd / 37th pick / 2003"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Charles Grant",28,"4",16,"","New Orleans Saints / 1st / 25th pick / 2002"
"14","DE","Will Smith*",25,"2",14,"","New Orleans Saints / 1st / 18th pick / 2004"
"15","DT","Brian Young",29,"6",16,"","St. Louis Rams / 5th / 139th pick / 2000"
"16","NT","Hollis Thomas",32,"10",12,"3.5 sacks, 0 interceptions, 1 fumble recovered",""
"17","MLB","Mark Simoneau",29,"6",13,"1.0 sacks, 1 interception, 0 fumbles recovered","Atlanta Falcons / 3rd / 67th pick / 2000"
"18","LB","Scott Fujita",27,"4",16,"","Kansas City Chiefs / 5th / 143rd pick / 2002"
"19","LB","Scott Shanle",27,"3",15,"","St. Louis Rams / 7th / 251st pick / 2003"
"20","LCB","Mike McKenzie",30,"7",16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Green Bay Packers / 3rd / 87th pick / 1999"
"21","RCB","Fred Thomas",33,"10",13,"0.0 sacks, 1 interception, 0 fumbles recovered","Seattle Seahawks / 2nd / 47th pick / 1996"
"22","SS","Omar Stoutmire",32,"9",9,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Dallas Cowboys / 7th / 224th pick / 1997"
"23","FS","Josh Bullocks",23,"1",16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","New Orleans Saints / 2nd / 40th pick / 2005"
