"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Steve DeBerg",37,"13",15,"256 for 434, 2,965 yards, 17 td, 14 int, & 21 rushes for -15 yards and 0 td","Dallas Cowboys / 10th / 275th pick / 1977"
"3","RB","Barry Word",28,"4",3,"160 rushes for 684 yards, 4 td, & 2 catches for 13 yards and 0 td","New Orleans Saints / 3rd / 62nd pick / 1986"
"4","FB","Christian Okoye*",30,"4",12,"225 rushes for 1,031 yards, 9 td, & 3 catches for 34 yards and 0 td","Kansas City Chiefs / 2nd / 35th pick / 1987"
"5","WR","Tim Barnett",23,"Rook",8,"41 catches for 564 yards, 5 td","Kansas City Chiefs / 3rd / 77th pick / 1991"
"6","WR","Robb Thomas",25,"2",12,"43 catches for 495 yards, 1 td","Kansas City Chiefs / 6th / 143rd pick / 1989"
"7","TE","Jonathan Hayes",29,"6",16,"19 catches for 208 yards, 2 td","Kansas City Chiefs / 2nd / 41st pick / 1985"
"8","LT","John Alt",29,"7",16,"","Kansas City Chiefs / 1st / 21st pick / 1984"
"9","LG","Dave Szott",24,"1",16,"1 fumble recovered","Kansas City Chiefs / 7th / 180th pick / 1990"
"10","C","Tim Grunhard",23,"1",16,"1 fumble recovered","Kansas City Chiefs / 2nd / 40th pick / 1990"
"11","RG","Dave Lutz",32,"8",16,"1 fumble recovered","Kansas City Chiefs / 2nd / 34th pick / 1983"
"12","RT","Rich Baldinger",32,"9",15,"1 fumble recovered","New York Giants / 10th / 270th pick / 1982"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Neil Smith*",25,"3",16,"8.0 sacks, 0 interceptions, 2 fumbles recovered","Kansas City Chiefs / 1st / 2nd pick / 1988"
"15","NT","Dan Saleaumua",27,"4",16,"1.5 sacks, 0 interceptions, 2 fumbles recovered","Detroit Lions / 7th / 175th pick / 1987"
"16","RDE","Bill Maas",29,"7",16,"4.0 sacks, 0 interceptions, 1 fumble recovered","Kansas City Chiefs / 1st / 5th pick / 1984"
"17","LOLB","Chris Martin",31,"8",15,"5.0 sacks, 1 interception, 1 fumble recovered",""
"18","LILB","Tracy Simien",24,"2",12,"2.0 sacks, 0 interceptions, 1 fumble recovered",""
"19","RILB","Dino Hackett",27,"5",14,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Kansas City Chiefs / 2nd / 35th pick / 1986"
"20","ROLB","Derrick Thomas*+",24,"2",15,"13.5 sacks, 0 interceptions, 4 fumbles recovered","Kansas City Chiefs / 1st / 4th pick / 1989"
"21","LCB","J.C. Pearson",28,"5",12,"1.0 sacks, 3 interceptions, 0 fumbles recovered",""
"22","RCB","Kevin Ross",29,"7",13,"0.0 sacks, 1 interception, 1 fumble recovered","Kansas City Chiefs / 7th / 173rd pick / 1984"
"23","SS","Kevin Porter",25,"3",15,"1.0 sacks, 0 interceptions, 1 fumble recovered","Kansas City Chiefs / 3rd / 59th pick / 1988"
"24","FS","Deron Cherry",32,"10",15,"0.0 sacks, 4 interceptions, 1 fumble recovered",""
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Nick Lowery",35,"13",0,"25 of 30 field goals & 35 of 35 extra points",""
"27","P","Bryan Barker",27,"1",0,"57 punts for a 40.4 average, 0 blocked",""
"28","PR","Troy Stradford",27,"4",0,"22 punt returns for a 6.8 average and 0 td","Miami Dolphins / 4th / 99th pick / 1987"
"29","KR","Harvey Williams",24,"Rook",1,"24 kick returns for a 21.8 average and 0 td","Kansas City Chiefs / 1st / 21st pick / 1991"
