"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Dave Brown",26,"4",16,"214 for 398, 2,412 yards, 12 td, 20 int, & 50 rushes for 170 yards and 0 td","New York Giants / 1st / 1st pick / 1992 Supp"
"3","RB","Rodney Hampton",27,"6",15,"254 rushes for 827 yards, 1 td, & 15 catches for 82 yards and 0 td","New York Giants / 1st / 24th pick / 1990"
"4","FB","Charles Way",24,"1",12,"22 rushes for 79 yards, 1 td, & 32 catches for 328 yards and 1 td","New York Giants / 6th / 206th pick / 1995"
"5","WR","Chris Calloway",28,"6",15,"53 catches for 739 yards, 4 td, & 1 rush for 2 yards and 0 td","Pittsburgh Steelers / 4th / 97th pick / 1990"
"6","WR","Thomas Lewis",24,"2",11,"53 catches for 694 yards, 4 td","New York Giants / 1st / 24th pick / 1994"
"7","TE","Howard Cross",29,"7",16,"22 catches for 178 yards, 1 td","New York Giants / 6th / 158th pick / 1989"
"8","LT","Greg Bishop",25,"3",16,"1 fumble recovered","New York Giants / 4th / 93rd pick / 1993"
"9","LG","Lance Smith",33,"11",10,"","St. Louis Cardinals / 3rd / 72nd pick / 1985"
"10","C","Brian Williams",30,"7",14,"","New York Giants / 1st / 18th pick / 1989"
"11","RG","Ron Stone",25,"2",16,"","Dallas Cowboys / 4th / 96th pick / 1993"
"12","RT","Scott Gragg",24,"1",16,"","New York Giants / 2nd / 54th pick / 1995"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Michael Strahan",25,"3",16,"5.0 sacks, 0 interceptions, 0 fumbles recovered","New York Giants / 2nd / 40th pick / 1993"
"15","LDT","Robert Harris",27,"4",16,"4.5 sacks, 0 interceptions, 0 fumbles recovered","Minnesota Vikings / 2nd / 39th pick / 1992"
"16","RDT","Keith Hamilton",25,"4",14,"3.0 sacks, 0 interceptions, 0 fumbles recovered","New York Giants / 4th / 99th pick / 1992"
"17","RDE","Chad Bratzke",25,"2",16,"5.0 sacks, 0 interceptions, 2 fumbles recovered","New York Giants / 5th / 155th pick / 1994"
"18","LLB","Jessie Armstead",26,"3",16,"3.0 sacks, 2 interceptions, 2 fumbles recovered","New York Giants / 8th / 207th pick / 1993"
"19","MLB","Corey Widmer",28,"4",16,"2.0 sacks, 2 interceptions, 1 fumble recovered","New York Giants / 7th / 180th pick / 1992"
"20","RLB","Corey Miller",28,"5",13,"2.0 sacks, 0 interceptions, 0 fumbles recovered","New York Giants / 6th / 167th pick / 1991"
"21","LCB","Phillippi Sparks",27,"4",14,"0.0 sacks, 3 interceptions, 0 fumbles recovered","New York Giants / 2nd / 41st pick / 1992"
"22","RCB","Jason Sehorn",25,"2",15,"3.0 sacks, 5 interceptions, 1 fumble recovered","New York Giants / 2nd / 59th pick / 1994"
"23","SS","Jesse Campbell",27,"4",16,"0.0 sacks, 2 interceptions, 1 fumble recovered","Philadelphia Eagles / 2nd / 48th pick / 1991"
"24","FS","Tito Wooten",25,"2",12,"0.0 sacks, 1 interception, 1 fumble recovered","New York Giants / 4th / 1st pick / 1994 Supp"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Brad Daluiso",29,"5",0,"24 of 27 field goals & 22 of 22 extra points",""
"27","P","Mike Horan",37,"12",0,"102 punts for a 42.0 average, 0 blocked","Atlanta Falcons / 9th / 235th pick / 1982"
"28","PR","Amani Toomer",22,"Rook",1,"18 punt returns for a 16.6 average and 2 td","New York Giants / 2nd / 34th pick / 1996"
"29","KR","Tyrone Wheatley",24,"1",0,"23 kick returns for a 21.9 average and 0 td","New York Giants / 1st / 17th pick / 1995"
