"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Doug Williams",24,"1",16,"166 for 397, 2,448 yards, 18 td, 24 int, & 35 rushes for 119 yards and 2 td","Tampa Bay Buccaneers / 1st / 17th pick / 1978"
"3","RB","Jerry Eckwood",25,"Rook",10,"194 rushes for 690 yards, 2 td, & 22 catches for 268 yards and 0 td","Tampa Bay Buccaneers / 3rd / 60th pick / 1979"
"4","FB","Ricky Bell",24,"2",16,"283 rushes for 1,263 yards, 7 td, & 25 catches for 248 yards and 2 td","Tampa Bay Buccaneers / 1st / 1st pick / 1977"
"5","WR","Isaac Hagins",25,"3",14,"39 catches for 692 yards, 3 td","Minnesota Vikings / 9th / 262nd pick / 1976"
"6","WR","Morris Owens",26,"4",12,"20 catches for 377 yards, 0 td","Miami Dolphins / 5th / 106th pick / 1975"
"7","TE","Jimmie Giles",25,"2",16,"40 catches for 579 yards, 7 td, & 2 rushes for 7 yards and 0 td","Houston Oilers / 3rd / 70th pick / 1977"
"8","LT","Dave Reavis",29,"5",16,"","Pittsburgh Steelers / 5th / 106th pick / 1973"
"9","LG","Greg Horton",28,"3",16,"1 fumble recovered","Chicago Bears / 3rd / 56th pick / 1974"
"10","C","Steve Wilson",25,"3",16,"","Tampa Bay Buccaneers / 5th / 154th pick / 1976"
"11","RG","Greg Roberts",23,"Rook",16,"1 fumble recovered","Tampa Bay Buccaneers / 2nd / 33rd pick / 1979"
"12","RT","Charley Hannah",24,"2",14,"","Tampa Bay Buccaneers / 3rd / 56th pick / 1977"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Wally Chambers",28,"6",16,"","Chicago Bears / 1st / 8th pick / 1973"
"15","NT","Randy Crowder",27,"5",8,"","Miami Dolphins / 6th / 136th pick / 1974"
"16","RDE","Lee Roy Selmon*+",25,"3",16,"0 interceptions, 2 fumbles recovered","Tampa Bay Buccaneers / 1st / 1st pick / 1976"
"17","LOLB","Dave Lewis",25,"2",16,"2 interceptions, 2 fumbles recovered","Tampa Bay Buccaneers / 2nd / 29th pick / 1977"
"18","LILB","Dewey Selmon",26,"3",15,"","Tampa Bay Buccaneers / 2nd / 60th pick / 1976"
"19","RILB","Richard Wood",26,"4",16,"2 interceptions, 2 fumbles recovered","New York Jets / 3rd / 68th pick / 1975"
"20","ROLB","Cecil Johnson",24,"2",14,"0 interceptions, 4 fumbles recovered",""
"21","LCB","Jeris White",27,"5",16,"3 interceptions, 1 fumble recovered","Miami Dolphins / 2nd / 52nd pick / 1974"
"22","RCB","Mike Washington",26,"3",15,"3 interceptions, 0 fumbles recovered","Baltimore Colts / 3rd / 53rd pick / 1975"
"23","SS","Mark Cotney",27,"4",15,"1 interception, 1 fumble recovered","Houston Oilers / 7th / 171st pick / 1975"
"24","FS","Cedric Brown",25,"3",15,"3 interceptions, 1 fumble recovered","Oakland Raiders / 12th / 343rd pick / 1976"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Neil O'Donoghue",26,"2",0,"11 of 19 field goals & 30 of 35 extra points","Buffalo Bills / 5th / 127th pick / 1977"
"27","P","Tom Blanchard",31,"8",0,"93 punts for a 39.6 average, 2 blocked","New York Giants / 12th / 304th pick / 1971"
"28","PR","Danny Reece",24,"3",1,"70 punt returns for a 6.2 average and 0 td","Cincinnati Bengals / 3rd / 69th pick / 1976"
"29","KR","George Ragsdale",27,"2",0,"34 kick returns for a 19.9 average and 0 td","Tampa Bay Buccaneers / 12th / 321st pick / 1976"
