"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","Marc Wilson",27,4,10,"153 for 282, 2,151 yards, 15 td, 17 int, & 30 rushes for 56 yards and 1 td","Oakland Raiders / 1st / 15th pick / 1980"
"3","RB","Marcus Allen*",24,2,16,"275 rushes for 1,168 yards, 13 td, & 64 catches for 758 yards and 5 td","Los Angeles Raiders / 1st / 10th pick / 1982"
"4","FB","Kenny King",27,5,16,"67 rushes for 254 yards, 0 td, & 14 catches for 99 yards and 0 td","Houston Oilers / 3rd / 72nd pick / 1979"
"5","WR","Malcolm Barnwell",26,3,15,"45 catches for 851 yards, 2 td","Oakland Raiders / 7th / 173rd pick / 1980"
"6","WR","Cliff Branch",36,12,14,"27 catches for 401 yards, 0 td","Oakland Raiders / 4th / 98th pick / 1972"
"7","TE","Todd Christensen*",28,5,16,"80 catches for 1,007 yards, 7 td","Dallas Cowboys / 2nd / 56th pick / 1978"
"8","LT","Bruce Davis",28,5,15,"","Oakland Raiders / 11th / 294th pick / 1979"
"9","LG","Charley Hannah",29,7,9,"","Tampa Bay Buccaneers / 3rd / 56th pick / 1977"
"10","C","Dave Dalby",34,12,14,"1 fumble recovered","Oakland Raiders / 4th / 100th pick / 1972"
"11","RG","Don Mosebar",23,1,10,"","Los Angeles Raiders / 1st / 26th pick / 1983"
"12","RT","Henry Lawrence*",33,10,16,"","Oakland Raiders / 1st / 19th pick / 1974"
"13","","Defensive Starters",NA,NA,NA,"",""
"14","LDE","Howie Long*+",24,3,16,"12.0 sacks, 0 interceptions, 2 fumbles recovered","Oakland Raiders / 2nd / 48th pick / 1981"
"15","NT","Reggie Kinlaw",27,5,13,"","Oakland Raiders / 12th / 320th pick / 1979"
"16","RDE","Lyle Alzado",35,13,16,"6.0 sacks, 0 interceptions, 1 fumble recovered","Denver Broncos / 4th / 79th pick / 1971"
"17","LOLB","Brad Van Pelt",33,11,8,"0.0 sacks, 1 interception, 0 fumbles recovered","New York Giants / 2nd / 40th pick / 1973"
"18","LILB","Matt Millen",26,4,12,"2.5 sacks, 0 interceptions, 0 fumbles recovered","Oakland Raiders / 2nd / 43rd pick / 1980"
"19","RILB","Bob Nelson",31,8,11,"1.5 sacks, 0 interceptions, 0 fumbles recovered","Buffalo Bills / 2nd / 42nd pick / 1975"
"20","ROLB","Rod Martin*+",30,7,16,"11.0 sacks, 2 interceptions, 1 fumble recovered","Oakland Raiders / 12th / 317th pick / 1977"
"21","LCB","Lester Hayes*",29,7,16,"0.0 sacks, 1 interception, 0 fumbles recovered","Oakland Raiders / 5th / 126th pick / 1977"
"22","RCB","Mike Haynes*+",31,8,16,"0.0 sacks, 6 interceptions, 2 fumbles recovered","New England Patriots / 1st / 5th pick / 1976"
"23","SS","Mike Davis",28,6,16,"5.5 sacks, 2 interceptions, 1 fumble recovered","Oakland Raiders / 2nd / 35th pick / 1977"
"24","FS","Vann McElroy*",24,2,16,"0.0 sacks, 4 interceptions, 4 fumbles recovered","Los Angeles Raiders / 3rd / 64th pick / 1982"
"25","","Special Teams Starters",NA,NA,NA,"",""
"26","K","Chris Bahr",31,8,0,"20 of 27 field goals & 40 of 42 extra points","Cincinnati Bengals / 2nd / 51st pick / 1976"
"27","P","Ray Guy",35,11,0,"91 punts for a 41.9 average, 0 blocked","Oakland Raiders / 1st / 23rd pick / 1973"
"28","PR","Greg Pruitt",33,11,0,"53 punt returns for a 8.9 average and 0 td","Cleveland Browns / 2nd / 30th pick / 1973"
"29","KR","Cleo Montgomery",28,4,0,"26 kick returns for a 21.3 average and 0 td",""
