"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Kyle Boller",26,"4",8,"168 for 275, 1,743 yards, 9 td, 10 int, & 19 rushes for 89 yards and 0 td","Baltimore Ravens / 1st / 19th pick / 2003"
"3","RB","Willis McGahee*",26,"3",15,"294 rushes for 1,207 yards, 7 td, & 43 catches for 231 yards and 1 td","Buffalo Bills / 1st / 23rd pick / 2003"
"4","FB","Le'Ron McClain",23,"Rook",11,"8 rushes for 18 yards, 0 td, & 9 catches for 55 yards and 1 td","Baltimore Ravens / 4th / 137th pick / 2007"
"5","WR","Mark Clayton",25,"2",12,"48 catches for 531 yards, 0 td","Baltimore Ravens / 1st / 22nd pick / 2005"
"6","WR","Derrick Mason",33,"10",16,"103 catches for 1,087 yards, 5 td","Tennessee Oilers / 4th / 98th pick / 1997"
"7","TE","Quinn Sypniewski",25,"1",9,"34 catches for 246 yards, 1 td","Baltimore Ravens / 5th / 166th pick / 2006"
"8","LT","Jonathan Ogden*",33,"11",10,"","Baltimore Ravens / 1st / 4th pick / 1996"
"9","LG","Jason Brown",24,"2",16,"1 fumble recovered","Baltimore Ravens / 4th / 124th pick / 2005"
"10","C","Mike Flynn",33,"9",15,"1 fumble recovered",""
"11","RG","Ben Grubbs",23,"Rook",12,"","Baltimore Ravens / 1st / 29th pick / 2007"
"12","RT","Marshal Yanda",23,"Rook",12,"","Baltimore Ravens / 3rd / 86th pick / 2007"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDT","Dwan Edwards",26,"3",13,"1.0 sacks, 1 interception, 0 fumbles recovered","Baltimore Ravens / 2nd / 51st pick / 2004"
"15","NT","Kelly Gregg",31,"8",16,"3.0 sacks, 0 interceptions, 1 fumble recovered","Cincinnati Bengals / 6th / 173rd pick / 1999"
"16","RDT","Haloti Ngata",23,"1",16,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Baltimore Ravens / 1st / 12th pick / 2006"
"17","LOLB","Jarret Johnson",26,"4",16,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Baltimore Ravens / 4th / 109th pick / 2003"
"18","LILB","Ray Lewis*",32,"11",14,"2.0 sacks, 2 interceptions, 1 fumble recovered","Baltimore Ravens / 1st / 26th pick / 1996"
"19","RILB","Bart Scott",27,"5",16,"1.0 sacks, 0 interceptions, 0 fumbles recovered",""
"20","ROLB","Terrell Suggs",25,"4",16,"5.0 sacks, 0 interceptions, 0 fumbles recovered","Baltimore Ravens / 1st / 10th pick / 2003"
"21","LCB","Chris McAlister",30,"8",8,"0.0 sacks, 1 interception, 0 fumbles recovered","Baltimore Ravens / 1st / 10th pick / 1999"
"22","SS","Dawan Landry",25,"1",16,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Baltimore Ravens / 5th / 146th pick / 2006"
"23","FS","Ed Reed*+",29,"5",16,"0.0 sacks, 7 interceptions, 1 fumble recovered","Baltimore Ravens / 1st / 24th pick / 2002"
