"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","David Garrard",32,"8",14,"236 for 366, 2,734 yards, 23 td, 15 int, & 66 rushes for 279 yards and 5 td","Jacksonville Jaguars / 4th / 108th pick / 2002"
"3","RB","Maurice Jones-Drew*",25,"4",14,"299 rushes for 1,324 yards, 5 td, & 34 catches for 317 yards and 2 td","Jacksonville Jaguars / 2nd / 60th pick / 2006"
"4","FB","Greg Jones",29,"6",13,"2 rushes for 4 yards, 0 td, & 11 catches for 47 yards and 0 td","Jacksonville Jaguars / 2nd / 55th pick / 2004"
"5","WR","Mike Thomas",23,"1",11,"66 catches for 820 yards, 4 td, & 12 rushes for 114 yards and 0 td","Jacksonville Jaguars / 4th / 107th pick / 2009"
"6","WR","Mike Sims-Walker",26,"2",13,"43 catches for 562 yards, 7 td","Jacksonville Jaguars / 3rd / 79th pick / 2007"
"7","TE","Marcedes Lewis*",26,"4",16,"58 catches for 700 yards, 10 td","Jacksonville Jaguars / 1st / 28th pick / 2006"
"8","LT","Eugene Monroe",23,"1",15,"1 fumble recovered","Jacksonville Jaguars / 1st / 8th pick / 2009"
"9","LG","Vince Manuwai",30,"7",11,"","Jacksonville Jaguars / 3rd / 72nd pick / 2003"
"10","C","Brad Meester",33,"10",16,"","Jacksonville Jaguars / 2nd / 60th pick / 2000"
"11","RG","Uche Nwaneri",26,"3",16,"","Jacksonville Jaguars / 5th / 149th pick / 2007"
"12","RT","Jordan Black",30,"6",9,"","Kansas City Chiefs / 5th / 153rd pick / 2003"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Aaron Kampman",31,"8",8,"","Green Bay Packers / 5th / 156th pick / 2002"
"15","DE","Austen Lane",23,"Rook",9,"","Jacksonville Jaguars / 5th / 153rd pick / 2010"
"16","DE","Jeremy Mincey",27,"3",8,"","New England Patriots / 6th / 191st pick / 2006"
"17","DT","Tyson Alualu",23,"Rook",16,"","Jacksonville Jaguars / 1st / 10th pick / 2010"
"18","DT","Terrance Knighton",24,"1",16,"","Jacksonville Jaguars / 3rd / 72nd pick / 2009"
"19","LB","Justin Durant",25,"3",9,"","Jacksonville Jaguars / 2nd / 48th pick / 2007"
"20","LB","Kirk Morrison",28,"5",16,"","Oakland Raiders / 3rd / 78th pick / 2005"
"21","LB","Daryl Smith",28,"6",16,"","Jacksonville Jaguars / 2nd / 39th pick / 2004"
"22","CB","Derek Cox",24,"1",11,"0.0 sacks, 4 interceptions, 0 fumbles recovered","Jacksonville Jaguars / 3rd / 73rd pick / 2009"
"23","CB","Rashean Mathis",30,"7",16,"0.0 sacks, 1 interception, 0 fumbles recovered","Jacksonville Jaguars / 2nd / 39th pick / 2003"
"24","SS","Courtney Greene",24,"1",11,"0.0 sacks, 1 interception, 1 fumble recovered","Seattle Seahawks / 7th / 245th pick / 2009"
"25","FS","Don Carey",23,"Rook",10,"0.0 sacks, 1 interception, 0 fumbles recovered","Cleveland Browns / 6th / 177th pick / 2009"
