"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Chad Henne",25,"2",14,"301 for 490, 3,301 yards, 15 td, 19 int, & 35 rushes for 52 yards and 0 td","Miami Dolphins / 2nd / 57th pick / 2008"
"3","RB","Ronnie Brown",29,"5",16,"200 rushes for 734 yards, 5 td, & 33 catches for 242 yards and 0 td","Miami Dolphins / 1st / 2nd pick / 2005"
"4","FB","Lousaka Polite",29,"6",10,"26 rushes for 62 yards, 1 td, & 12 catches for 61 yards and 0 td",""
"5","WR","Davone Bess",25,"2",8,"79 catches for 820 yards, 5 td, & 2 rushes for -3 yards and 0 td",""
"6","WR","Brian Hartline",24,"1",11,"43 catches for 615 yards, 1 td, & 2 rushes for 27 yards and 0 td","Miami Dolphins / 4th / 108th pick / 2009"
"7","WR","Brandon Marshall",26,"4",14,"86 catches for 1,014 yards, 3 td, & 2 rushes for 3 yards and 0 td","Denver Broncos / 4th / 119th pick / 2006"
"8","TE","Anthony Fasano",26,"4",15,"39 catches for 528 yards, 4 td","Dallas Cowboys / 2nd / 53rd pick / 2006"
"9","LT","Jake Long*+",25,"2",16,"1 fumble recovered","Miami Dolphins / 1st / 1st pick / 2008"
"10","LG","Richie Incognito",27,"4",16,"","St. Louis Rams / 3rd / 81st pick / 2005"
"11","C","Joe Berger",28,"5",14,"","Carolina Panthers / 6th / 207th pick / 2005"
"12","RG","John Jerry",24,"Rook",10,"","Miami Dolphins / 3rd / 73rd pick / 2010"
"13","RT","Vernon Carey",29,"6",12,"","Miami Dolphins / 1st / 19th pick / 2004"
"14","","Defensive Starters",NA,"",NA,"",""
"15","DE","Kendall Langford",24,"2",16,"","Miami Dolphins / 3rd / 66th pick / 2008"
"16","DE","Randy Starks*",27,"6",16,"","Tennessee Titans / 3rd / 71st pick / 2004"
"17","NT","Paul Soliai",27,"3",14,"2.0 sacks, 0 interceptions, 1 fumble recovered","Miami Dolphins / 4th / 108th pick / 2007"
"18","LB","Channing Crowder",27,"5",11,"","Miami Dolphins / 3rd / 70th pick / 2005"
"19","LB","Karlos Dansby",29,"6",13,"","Arizona Cardinals / 2nd / 33rd pick / 2004"
"20","LB","Koa Misi",23,"Rook",11,"","Miami Dolphins / 2nd / 40th pick / 2010"
"21","LB","Cameron Wake*",28,"1",16,"",""
"22","LCB","Vontae Davis",22,"1",15,"0.0 sacks, 1 interception, 0 fumbles recovered","Miami Dolphins / 1st / 25th pick / 2009"
"23","RCB","Sean Smith",23,"1",8,"0.0 sacks, 1 interception, 0 fumbles recovered","Miami Dolphins / 2nd / 61st pick / 2009"
"24","SS","Yeremiah Bell",32,"6",16,"1.5 sacks, 1 interception, 1 fumble recovered","Miami Dolphins / 6th / 213th pick / 2003"
"25","FS","Chris Clemons",25,"1",14,"1.5 sacks, 1 interception, 1 fumble recovered","Miami Dolphins / 5th / 165th pick / 2009"
