"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Gus Frerotte",24,"1",11,"199 for 396, 2,751 yards, 13 td, 13 int, & 22 rushes for 16 yards and 1 td","Washington Redskins / 7th / 197th pick / 1994"
"3","RB","Terry Allen",27,"4",16,"338 rushes for 1,309 yards, 10 td, & 31 catches for 232 yards and 1 td","Minnesota Vikings / 9th / 241st pick / 1990"
"4","FB","Marc Logan",30,"8",8,"23 rushes for 72 yards, 1 td, & 25 catches for 276 yards and 2 td","Cincinnati Bengals / 5th / 130th pick / 1987"
"5","WR","Henry Ellard",34,"12",15,"56 catches for 1,005 yards, 5 td","Los Angeles Rams / 2nd / 32nd pick / 1983"
"6","WR","Michael Westbrook",23,"Rook",9,"34 catches for 522 yards, 1 td, & 6 rushes for 114 yards and 1 td","Washington Redskins / 1st / 4th pick / 1995"
"7","TE","Scott Galbraith",28,"5",16,"10 catches for 80 yards, 2 td","Cleveland Browns / 7th / 178th pick / 1990"
"8","LT","Joe Patton",23,"1",13,"1 fumble recovered","Washington Redskins / 3rd / 97th pick / 1994"
"9","LG","Ray Brown",33,"9",16,"","St. Louis Cardinals / 8th / 201st pick / 1986"
"10","C","John Gesek",32,"8",16,"","Los Angeles Raiders / 10th / 265th pick / 1987"
"11","RG","Tre' Johnson",24,"1",9,"","Washington Redskins / 2nd / 31st pick / 1994"
"12","RT","Ed Simmons",32,"8",16,"2 fumbles recovered","Washington Redskins / 6th / 164th pick / 1987"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Tony Woods",30,"8",16,"2.0 sacks, 0 interceptions, 2 fumbles recovered","Seattle Seahawks / 1st / 18th pick / 1987"
"15","LDT","Marc Boutte",26,"3",16,"2.0 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 3rd / 57th pick / 1992"
"16","RDT","William Gaines",24,"1",11,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Miami Dolphins / 5th / 147th pick / 1994"
"17","RDE","Sterling Palmer",24,"2",13,"4.5 sacks, 0 interceptions, 1 fumble recovered","Washington Redskins / 4th / 101st pick / 1993"
"18","LLB","Ken Harvey*",30,"7",16,"7.5 sacks, 0 interceptions, 2 fumbles recovered","Phoenix Cardinals / 1st / 12th pick / 1988"
"19","MLB","Rod Stephens",29,"6",16,"0.0 sacks, 0 interceptions, 1 fumble recovered",""
"20","RLB","Marvcus Patton",28,"5",16,"2.0 sacks, 2 interceptions, 1 fumble recovered","Buffalo Bills / 8th / 208th pick / 1990"
"21","LCB","Tom Carter",23,"2",16,"0.0 sacks, 4 interceptions, 0 fumbles recovered","Washington Redskins / 1st / 17th pick / 1993"
"22","RCB","Darrell Green",35,"12",16,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Washington Redskins / 1st / 28th pick / 1983"
"23","SS","James Washington",30,"7",12,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Los Angeles Rams / 5th / 137th pick / 1988"
"24","FS","Stanley Richard",28,"4",16,"0.0 sacks, 3 interceptions, 1 fumble recovered","San Diego Chargers / 1st / 9th pick / 1991"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Eddie Murray",39,"15",0,"27 of 36 field goals & 33 of 33 extra points","Detroit Lions / 7th / 166th pick / 1980"
"27","P","Matt Turk",27,"Rook",0,"74 punts for a 42.4 average, 0 blocked",""
"28","PR","Brian Mitchell*+",27,"5",1,"25 punt returns for a 12.6 average and 1 td","Washington Redskins / 5th / 130th pick / 1990"
"29","KR","Brian Mitchell*+",27,"5",1,"55 kick returns for a 25.6 average and 0 td","Washington Redskins / 5th / 130th pick / 1990"
