"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Peyton Manning*",26,"4",16,"392 for 591, 4,200 yards, 27 td, 19 int, & 38 rushes for 148 yards and 2 td","Indianapolis Colts / 1st / 1st pick / 1998"
"3","RB","Edgerrin James",24,"3",14,"277 rushes for 989 yards, 2 td, & 61 catches for 354 yards and 1 td","Indianapolis Colts / 1st / 4th pick / 1999"
"4","WR","Marvin Harrison*+",30,"6",16,"143 catches for 1,722 yards, 11 td, & 2 rushes for 10 yards and 0 td","Indianapolis Colts / 1st / 19th pick / 1996"
"5","WR","Qadry Ismail",32,"9",14,"44 catches for 462 yards, 3 td","Minnesota Vikings / 2nd / 52nd pick / 1993"
"6","TE","Marcus Pollard",30,"7",15,"43 catches for 478 yards, 6 td",""
"7","LT","Tarik Glenn",26,"5",16,"","Indianapolis Colts / 1st / 19th pick / 1997"
"8","LG","Rick DeMulling",25,"1",14,"","Indianapolis Colts / 7th / 220th pick / 2001"
"9","C","Jeff Saturday",27,"3",16,"2 fumbles recovered",""
"10","RG","Ryan Diem",23,"1",16,"","Indianapolis Colts / 4th / 118th pick / 2001"
"11","RT","Adam Meadows",28,"5",14,"1 fumble recovered","Indianapolis Colts / 2nd / 48th pick / 1997"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Chad Bratzke",31,"8",16,"","New York Giants / 5th / 155th pick / 1994"
"14","DE","Dwight Freeney",22,"Rook",8,"","Indianapolis Colts / 1st / 11th pick / 2002"
"15","LDT","Brad Scioli",26,"3",13,"7.0 sacks, 0 interceptions, 0 fumbles recovered","Indianapolis Colts / 5th / 138th pick / 1999"
"16","RDT","Larry Tripplett",23,"Rook",10,"","Indianapolis Colts / 2nd / 42nd pick / 2002"
"17","MLB","Rob Morris",27,"2",16,"3.0 sacks, 0 interceptions, 1 fumble recovered","Indianapolis Colts / 1st / 28th pick / 2000"
"18","LB","Mike Peterson",26,"3",16,"","Indianapolis Colts / 2nd / 36th pick / 1999"
"19","LB","Marcus Washington",25,"2",15,"","Indianapolis Colts / 2nd / 59th pick / 2000"
"20","LCB","Walt Harris",28,"6",15,"0.0 sacks, 2 interceptions, 2 fumbles recovered","Chicago Bears / 1st / 13th pick / 1996"
"21","RCB","David Macklin",24,"2",15,"0.0 sacks, 1 interception, 0 fumbles recovered","Indianapolis Colts / 3rd / 91st pick / 2000"
"22","SS","David Gibson",25,"2",9,"1.0 sacks, 1 interception, 1 fumble recovered","Tampa Bay Buccaneers / 6th / 193rd pick / 2000"
"23","FS","Idrees Bashir",24,"1",14,"0.0 sacks, 2 interceptions, 1 fumble recovered","Indianapolis Colts / 2nd / 37th pick / 2001"
