"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Tony Romo",32,"8",16,"425 for 648, 4,903 yards, 28 td, 19 int, & 30 rushes for 49 yards and 1 td",""
"3","RB","DeMarco Murray",24,"1",10,"161 rushes for 663 yards, 4 td, & 34 catches for 247 yards and 0 td","Dallas Cowboys / 3rd / 71st pick / 2011"
"4","WR","Miles Austin",28,"6",15,"66 catches for 943 yards, 6 td",""
"5","WR","Dez Bryant",24,"2",14,"92 catches for 1,382 yards, 12 td, & 2 rushes for -5 yards and 0 td","Dallas Cowboys / 1st / 24th pick / 2010"
"6","TE","John Phillips",25,"3",9,"8 catches for 55 yards, 1 td","Dallas Cowboys / 6th / 208th pick / 2009"
"7","TE","Jason Witten*",30,"9",16,"110 catches for 1,039 yards, 3 td","Dallas Cowboys / 3rd / 69th pick / 2003"
"8","LT","Tyron Smith",22,"1",15,"","Dallas Cowboys / 1st / 9th pick / 2011"
"9","LG","Nate Livings",30,"4",16,"",""
"10","C","Ryan Cook",29,"6",11,"1 fumble recovered","Minnesota Vikings / 2nd / 51st pick / 2006"
"11","RG","Mackenzy Bernadeau",26,"4",16,"","Carolina Panthers / 7th / 250th pick / 2008"
"12","RT","Doug Free",28,"5",16,"1 fumble recovered","Dallas Cowboys / 4th / 122nd pick / 2007"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DT","Jason Hatcher",30,"6",16,"","Dallas Cowboys / 3rd / 92nd pick / 2006"
"15","MLB","Bruce Carter",24,"1",11,"","Dallas Cowboys / 2nd / 40th pick / 2011"
"16","LB","Anthony Spencer*",28,"5",14,"","Dallas Cowboys / 1st / 26th pick / 2007"
"17","LB","DeMarcus Ware*",30,"7",16,"","Dallas Cowboys / 1st / 11th pick / 2005"
"18","LCB","Brandon Carr",26,"4",16,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Kansas City Chiefs / 5th / 140th pick / 2008"
"19","RCB","Morris Claiborne",22,"Rook",15,"0.0 sacks, 1 interception, 2 fumbles recovered","Dallas Cowboys / 1st / 6th pick / 2012"
"20","SS","Danny McCray",24,"2",10,"0.0 sacks, 1 interception, 0 fumbles recovered",""
"21","FS","Gerald Sensabaugh",29,"7",15,"","Jacksonville Jaguars / 5th / 157th pick / 2005"
