"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Lynn Dickey",33,"11",9,"124 for 218, 1,790 yards, 12 td, 14 int, & 13 rushes for 19 yards and 0 td","Houston Oilers / 3rd / 56th pick / 1971"
"3","RB","Eddie Lee Ivery",25,"3",9,"127 rushes for 453 yards, 9 td, & 16 catches for 186 yards and 1 td","Green Bay Packers / 1st / 15th pick / 1979"
"4","FB","Gerry Ellis",25,"2",8,"62 rushes for 228 yards, 1 td, & 18 catches for 140 yards and 0 td","Los Angeles Rams / 7th / 192nd pick / 1980"
"5","WR","John Jefferson*",26,"4",8,"27 catches for 452 yards, 0 td, & 2 rushes for 16 yards and 0 td","San Diego Chargers / 1st / 14th pick / 1978"
"6","WR","James Lofton*",26,"4",9,"35 catches for 696 yards, 4 td, & 4 rushes for 101 yards and 1 td","Green Bay Packers / 1st / 6th pick / 1978"
"7","TE","Paul Coffman*",26,"4",9,"23 catches for 287 yards, 2 td",""
"8","LT","Karl Swanke",25,"2",8,"1 fumble recovered","Green Bay Packers / 6th / 143rd pick / 1980"
"9","LG","Derrel Gofourth",27,"5",7,"1 fumble recovered","Green Bay Packers / 7th / 172nd pick / 1977"
"10","C","Larry McCarren*",31,"9",9,"","Green Bay Packers / 12th / 308th pick / 1973"
"11","RG","Leotis Harris",27,"4",8,"","Green Bay Packers / 6th / 144th pick / 1978"
"12","RT","Greg Koch",27,"5",9,"","Green Bay Packers / 2nd / 39th pick / 1977"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Mike Butler",28,"5",9,"2.0 sacks, 0 interceptions, 1 fumble recovered","Green Bay Packers / 1st / 9th pick / 1977"
"15","NT","Terry Jones",26,"4",9,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Green Bay Packers / 11th / 284th pick / 1978"
"16","RDE","Ezra Johnson",27,"5",9,"5.5 sacks, 0 interceptions, 0 fumbles recovered","Green Bay Packers / 1st / 28th pick / 1977"
"17","LOLB","John Anderson",26,"4",9,"0.5 sacks, 3 interceptions, 2 fumbles recovered","Green Bay Packers / 1st / 26th pick / 1978"
"18","LILB","Rich Wingo",26,"3",5,"1.0 sacks, 1 interception, 0 fumbles recovered","Green Bay Packers / 7th / 184th pick / 1979"
"19","RILB","George Cumby",26,"2",9,"0.0 sacks, 1 interception, 1 fumble recovered","Green Bay Packers / 1st / 26th pick / 1980"
"20","ROLB","Mike Douglass",27,"4",9,"3.0 sacks, 2 interceptions, 1 fumble recovered","Green Bay Packers / 5th / 116th pick / 1978"
"21","LCB","Mark Lee",24,"2",7,"0.0 sacks, 1 interception, 0 fumbles recovered","Green Bay Packers / 2nd / 34th pick / 1980"
"22","RCB","Mike McCoy",29,"6",9,"0.0 sacks, 0 interceptions, 1 fumble recovered","Green Bay Packers / 3rd / 72nd pick / 1976"
"23","SS","Johnnie Gray",29,"7",9,"0.0 sacks, 1 interception, 0 fumbles recovered",""
"24","FS","Maurice Harvey",26,"4",9,"1.0 sacks, 2 interceptions, 3 fumbles recovered","Oakland Raiders / 4th / 86th pick / 1978"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Jan Stenerud",40,"15",0,"13 of 18 field goals & 25 of 27 extra points",""
"27","P","Ray Stachowicz",23,"1",0,"42 punts for a 40.2 average, 0 blocked","Green Bay Packers / 3rd / 62nd pick / 1981"
"28","PR","Phil Epps",24,"Rook",1,"20 punt returns for a 7.5 average and 0 td","Green Bay Packers / 12th / 321st pick / 1982"
"29","KR","Del Rodgers",22,"Rook",0,"20 kick returns for a 21.8 average and 0 td","Green Bay Packers / 3rd / 71st pick / 1982"
