"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Ben Roethlisberger",22,"Rook",13,"196 for 295, 2,621 yards, 17 td, 11 int, & 56 rushes for 144 yards and 1 td","Pittsburgh Steelers / 1st / 11th pick / 2004"
"3","RB","Duce Staley",29,"7",10,"192 rushes for 830 yards, 1 td, & 6 catches for 55 yards and 0 td","Philadelphia Eagles / 3rd / 71st pick / 1997"
"4","FB","Dan Kreider",27,"4",9,"4 rushes for 18 yards, 0 td, & 10 catches for 75 yards and 1 td",""
"5","FL","Hines Ward*",28,"6",16,"80 catches for 1,004 yards, 4 td, & 7 rushes for 25 yards and 1 td","Pittsburgh Steelers / 3rd / 92nd pick / 1998"
"6","SE","Plaxico Burress",27,"4",11,"35 catches for 698 yards, 5 td","Pittsburgh Steelers / 1st / 8th pick / 2000"
"7","TE","Jerame Tuman",28,"5",16,"9 catches for 89 yards, 3 td","Pittsburgh Steelers / 5th / 136th pick / 1999"
"8","LT","Marvel Smith*",26,"4",16,"","Pittsburgh Steelers / 2nd / 38th pick / 2000"
"9","LG","Alan Faneca*+",28,"6",16,"","Pittsburgh Steelers / 1st / 26th pick / 1998"
"10","C","Jeff Hartings*+",32,"8",16,"","Detroit Lions / 1st / 23rd pick / 1996"
"11","RG","Keydrick Vincent",26,"3",16,"",""
"12","RT","Oliver Ross",30,"6",16,"","Dallas Cowboys / 5th / 138th pick / 1998"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Aaron Smith*",28,"5",15,"","Pittsburgh Steelers / 4th / 109th pick / 1999"
"15","DE","Kimo von Oelhoffen",33,"10",15,"","Cincinnati Bengals / 6th / 162nd pick / 1994"
"16","NT","Chris Hoke",28,"Rook",10,"1.0 sacks, 0 interceptions, 0 fumbles recovered",""
"17","LOLB","Clark Haggans",27,"4",13,"6.0 sacks, 0 interceptions, 1 fumble recovered","Pittsburgh Steelers / 5th / 137th pick / 2000"
"18","LILB","James Farrior*+",29,"7",16,"3.0 sacks, 4 interceptions, 3 fumbles recovered","New York Jets / 1st / 8th pick / 1997"
"19","RILB","Larry Foote",24,"2",16,"3.0 sacks, 1 interception, 1 fumble recovered","Pittsburgh Steelers / 4th / 128th pick / 2002"
"20","ROLB","Joey Porter*",27,"5",15,"7.0 sacks, 1 interception, 0 fumbles recovered","Pittsburgh Steelers / 3rd / 73rd pick / 1999"
"21","SS","Troy Polamalu*",23,"1",16,"1.0 sacks, 5 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 1st / 16th pick / 2003"
"22","FS","Chris Hope",24,"2",16,"0.0 sacks, 1 interception, 0 fumbles recovered","Pittsburgh Steelers / 3rd / 94th pick / 2002"
