"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Bernie Kosar",25,"3",9,"156 for 259, 1,890 yards, 10 td, 7 int, & 12 rushes for -1 yards and 1 td","Cleveland Browns / 1st / 1st pick / 1985 Supp"
"3","RB","Earnest Byner",26,"4",16,"157 rushes for 576 yards, 3 td, & 59 catches for 576 yards and 2 td","Cleveland Browns / 10th / 280th pick / 1984"
"4","FB","Kevin Mack",26,"3",11,"123 rushes for 485 yards, 3 td, & 11 catches for 87 yards and 0 td","Cleveland Browns / 1st / 11th pick / 1984 Supp"
"5","WR","Reggie Langhorne",25,"3",16,"57 catches for 780 yards, 7 td, & 2 rushes for 26 yards and 1 td","Cleveland Browns / 7th / 175th pick / 1985"
"6","WR","Webster Slaughter",24,"2",8,"30 catches for 462 yards, 3 td","Cleveland Browns / 2nd / 43rd pick / 1986"
"7","TE","Ozzie Newsome",32,"10",14,"35 catches for 343 yards, 2 td","Cleveland Browns / 1st / 23rd pick / 1978"
"8","LT","Paul Farren",28,"5",15,"","Cleveland Browns / 12th / 316th pick / 1983"
"9","LG","Larry Williams",25,"2",14,"1 fumble recovered","Cleveland Browns / 10th / 259th pick / 1985"
"10","C","Gregg Rakoczy",23,"1",16,"","Cleveland Browns / 2nd / 32nd pick / 1987"
"11","RG","Dan Fike",27,"3",16,"","New York Jets / 10th / 274th pick / 1983"
"12","RT","Cody Risien",31,"9",16,"","Cleveland Browns / 7th / 183rd pick / 1979"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Sam Clancy",30,"5",12,"4.5 sacks, 0 interceptions, 0 fumbles recovered","Seattle Seahawks / 11th / 284th pick / 1982"
"15","NT","Bob Golic",31,"9",16,"","New England Patriots / 2nd / 52nd pick / 1979"
"16","RDE","Carl Hairston",36,"12",13,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Philadelphia Eagles / 7th / 191st pick / 1976"
"17","LOLB","David Grayson",24,"1",14,"5.0 sacks, 0 interceptions, 0 fumbles recovered","San Francisco 49ers / 8th / 217th pick / 1987"
"18","LILB","Mike Johnson",26,"2",16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Cleveland Browns / 1st / 18th pick / 1984 Supp"
"19","RILB","Eddie Johnson",29,"7",8,"3.0 sacks, 2 interceptions, 3 fumbles recovered","Cleveland Browns / 7th / 187th pick / 1981"
"20","ROLB","Clay Matthews*",32,"10",16,"6.0 sacks, 0 interceptions, 2 fumbles recovered","Cleveland Browns / 1st / 12th pick / 1978"
"21","LCB","Frank Minnifield*+",28,"4",15,"0.0 sacks, 4 interceptions, 0 fumbles recovered",""
"22","RCB","Hanford Dixon*",30,"7",15,"0.0 sacks, 2 interceptions, 1 fumble recovered","Cleveland Browns / 1st / 22nd pick / 1981"
"23","SS","Brian Washington",23,"Rook",14,"0.5 sacks, 3 interceptions, 0 fumbles recovered","Cleveland Browns / 10th / 272nd pick / 1988"
"24","FS","Felix Wright",29,"3",16,"0.0 sacks, 5 interceptions, 1 fumble recovered",""
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Matt Bahr",32,"9",0,"24 of 29 field goals & 32 of 33 extra points","Pittsburgh Steelers / 6th / 165th pick / 1979"
"27","P","Max Runager",32,"9",0,"48 punts for a 40.3 average, 2 blocked","Philadelphia Eagles / 8th / 211th pick / 1979"
"28","PR","Gerald McNeil",26,"2",0,"38 punt returns for a 8.3 average and 0 td","Cleveland Browns / 2nd / 44th pick / 1984 Supp"
"29","KR","Glen Young",28,"5",0,"29 kick returns for a 21.9 average and 0 td","Philadelphia Eagles / 3rd / 62nd pick / 1983"
