"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","Troy Aikman*",29,6,16,"280 for 432, 3,304 yards, 16 td, 7 int, & 21 rushes for 32 yards and 1 td","Dallas Cowboys / 1st / 1st pick / 1989"
"3","RB","Emmitt Smith*+",26,5,16,"377 rushes for 1,773 yards, 25 td, & 62 catches for 375 yards and 0 td","Dallas Cowboys / 1st / 17th pick / 1990"
"4","FB","Daryl Johnston",29,6,16,"25 rushes for 111 yards, 2 td, & 30 catches for 248 yards and 1 td","Dallas Cowboys / 2nd / 39th pick / 1989"
"5","WR","Michael Irvin*",29,7,16,"111 catches for 1,603 yards, 10 td","Dallas Cowboys / 1st / 11th pick / 1988"
"6","WR","Kevin Williams",24,2,16,"38 catches for 613 yards, 2 td, & 10 rushes for 53 yards and 0 td","Dallas Cowboys / 2nd / 46th pick / 1993"
"7","TE","Jay Novacek*",33,10,15,"62 catches for 705 yards, 5 td","St. Louis Cardinals / 6th / 158th pick / 1985"
"8","LT","Mark Tuinei*",35,12,16,"",""
"9","LG","Nate Newton*+",34,9,16,"",""
"10","C","Ray Donaldson*",37,15,12,"","Baltimore Colts / 2nd / 32nd pick / 1980"
"11","RG","Larry Allen*",24,1,16,"1 fumble recovered","Dallas Cowboys / 2nd / 46th pick / 1994"
"12","RT","Erik Williams",27,4,15,"","Dallas Cowboys / 3rd / 70th pick / 1991"
"13","","Defensive Starters",NA,NA,NA,"",""
"14","LDE","Tony Tolbert",28,6,16,"5.5 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 4th / 85th pick / 1989"
"15","LDT","Russell Maryland",26,4,13,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 1st / 1st pick / 1991"
"16","RDT","Leon Lett",27,4,12,"3.0 sacks, 0 interceptions, 2 fumbles recovered","Dallas Cowboys / 7th / 173rd pick / 1991"
"17","RDE","Charles Haley*",31,9,11,"10.5 sacks, 0 interceptions, 0 fumbles recovered","San Francisco 49ers / 4th / 96th pick / 1986"
"18","LLB","Dixon Edwards",27,4,15,"","Dallas Cowboys / 2nd / 37th pick / 1991"
"19","MLB","Robert Jones",26,3,12,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 1st / 24th pick / 1992"
"20","RLB","Godfrey Myles",27,4,11,"0.0 sacks, 1 interception, 2 fumbles recovered","Dallas Cowboys / 3rd / 62nd pick / 1991"
"21","LCB","Deion Sanders",28,6,9,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Atlanta Falcons / 1st / 5th pick / 1989"
"22","RCB","Larry Brown",26,4,15,"0.0 sacks, 6 interceptions, 0 fumbles recovered","Dallas Cowboys / 12th / 320th pick / 1991"
"23","SS","Darren Woodson*+",26,3,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Dallas Cowboys / 2nd / 37th pick / 1992"
"24","FS","Brock Marion",25,2,16,"0.0 sacks, 6 interceptions, 0 fumbles recovered","Dallas Cowboys / 7th / 196th pick / 1993"
"25","","Special Teams Starters",NA,NA,NA,"",""
"26","K","Chris Boniol",24,1,0,"27 of 28 field goals & 46 of 48 extra points",""
"27","P","John Jett",27,2,0,"53 punts for a 40.9 average, 0 blocked",""
"28","PR","Kevin Williams",24,2,16,"18 punt returns for a 9.2 average and 0 td","Dallas Cowboys / 2nd / 46th pick / 1993"
"29","KR","Kevin Williams",24,2,16,"49 kick returns for a 22.6 average and 0 td","Dallas Cowboys / 2nd / 46th pick / 1993"
