"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Trent Green*",35,"8",16,"317 for 507, 4,014 yards, 17 td, 10 int, & 35 rushes for 82 yards and 0 td","San Diego Chargers / 8th / 222nd pick / 1993"
"3","RB","Larry Johnson*",26,"2",9,"336 rushes for 1,750 yards, 20 td, & 33 catches for 343 yards and 1 td","Kansas City Chiefs / 1st / 27th pick / 2003"
"4","FB","Tony Richardson",34,"10",16,"6 rushes for 20 yards, 0 td, & 9 catches for 68 yards and 1 td",""
"5","WR","Eddie Kennison",32,"9",16,"68 catches for 1,102 yards, 5 td, & 7 rushes for 43 yards and 0 td","St. Louis Rams / 1st / 18th pick / 1996"
"6","WR","Samie Parker",24,"1",9,"36 catches for 533 yards, 3 td","Kansas City Chiefs / 4th / 105th pick / 2004"
"7","TE","Tony Gonzalez*",29,"8",16,"78 catches for 905 yards, 2 td","Kansas City Chiefs / 1st / 13th pick / 1997"
"8","LT","Willie Roaf*",35,"12",10,"","New Orleans Saints / 1st / 8th pick / 1993"
"9","LG","Brian Waters*+",28,"5",16,"1 fumble recovered",""
"10","C","Casey Wiegmann",32,"8",16,"",""
"11","RG","Will Shields*",34,"12",16,"","Kansas City Chiefs / 3rd / 74th pick / 1993"
"12","RT","John Welbourn",29,"6",9,"","Philadelphia Eagles / 4th / 97th pick / 1999"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Jared Allen",23,"1",15,"","Kansas City Chiefs / 4th / 126th pick / 2004"
"15","DE","Eric Hicks",29,"7",14,"",""
"16","LDT","John Browning",32,"9",12,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Kansas City Chiefs / 3rd / 68th pick / 1996"
"17","RDT","Lional Dalton",30,"7",14,"1.0 sacks, 0 interceptions, 0 fumbles recovered",""
"18","LOLB","Derrick Johnson",23,"Rook",16,"2.0 sacks, 0 interceptions, 1 fumble recovered","Kansas City Chiefs / 1st / 15th pick / 2005"
"19","MLB","Kawika Mitchell",26,"2",16,"2.0 sacks, 1 interception, 2 fumbles recovered","Kansas City Chiefs / 2nd / 47th pick / 2003"
"20","ROLB","Kendrell Bell",27,"4",14,"1.5 sacks, 0 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 2nd / 39th pick / 2001"
"21","LCB","Patrick Surtain",29,"7",15,"0.0 sacks, 4 interceptions, 1 fumble recovered","Miami Dolphins / 2nd / 44th pick / 1998"
"22","RCB","Eric Warfield",29,"7",10,"0.0 sacks, 1 interception, 2 fumbles recovered","Kansas City Chiefs / 7th / 216th pick / 1998"
"23","SS","Sammy Knight",30,"8",16,"2.0 sacks, 2 interceptions, 2 fumbles recovered",""
"24","FS","Greg Wesley",27,"5",16,"0.0 sacks, 6 interceptions, 0 fumbles recovered","Kansas City Chiefs / 3rd / 85th pick / 2000"
