"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Nick Foles",26,"3",11,"190 for 337, 2,052 yards, 7 td, 10 int, & 17 rushes for 20 yards and 1 td","Philadelphia Eagles / 3rd / 88th pick / 2012"
"3","RB","Todd Gurley*",21,"Rook",12,"229 rushes for 1,106 yards, 10 td, & 21 catches for 188 yards and 0 td","St. Louis Rams / 1st / 10th pick / 2015"
"4","WR","Tavon Austin",24,"2",14,"52 catches for 473 yards, 5 td, & 52 rushes for 434 yards and 4 td","St. Louis Rams / 1st / 8th pick / 2013"
"5","WR","Kenny Britt",27,"6",13,"36 catches for 681 yards, 3 td","Tennessee Titans / 1st / 30th pick / 2009"
"6","TE","Jared Cook",28,"6",12,"39 catches for 481 yards, 0 td","Tennessee Titans / 3rd / 89th pick / 2009"
"7","TE","Lance Kendricks",27,"4",12,"25 catches for 245 yards, 2 td","St. Louis Rams / 2nd / 47th pick / 2011"
"8","LT","Greg Robinson",23,"1",16,"","St. Louis Rams / 1st / 2nd pick / 2014"
"9","C","Tim Barnes",27,"4",16,"2 fumbles recovered",""
"10","RT","Rob Havenstein",23,"Rook",13,"2 fumbles recovered","St. Louis Rams / 2nd / 57th pick / 2015"
"11","","Defensive Starters",NA,"",NA,"",""
"12","DE","William Hayes",30,"7",11,"","Tennessee Titans / 4th / 103rd pick / 2008"
"13","DE","Eugene Sims",29,"5",9,"","St. Louis Rams / 6th / 189th pick / 2010"
"14","LDT","Aaron Donald*+",24,"1",16,"11.0 sacks, 0 interceptions, 1 fumble recovered","St. Louis Rams / 1st / 13th pick / 2014"
"15","RDT","Michael Brockers",25,"3",16,"3.0 sacks, 0 interceptions, 0 fumbles recovered","St. Louis Rams / 1st / 14th pick / 2012"
"16","MLB","James Laurinaitis",29,"6",16,"1.0 sacks, 1 interception, 0 fumbles recovered","St. Louis Rams / 2nd / 35th pick / 2009"
"17","LB","Akeem Ayers",26,"4",11,"","Tennessee Titans / 2nd / 39th pick / 2011"
"18","LCB","Trumaine Johnson",25,"3",13,"0.0 sacks, 7 interceptions, 1 fumble recovered","St. Louis Rams / 3rd / 65th pick / 2012"
"19","RCB","Janoris Jenkins",27,"3",15,"0.0 sacks, 3 interceptions, 0 fumbles recovered","St. Louis Rams / 2nd / 39th pick / 2012"
"20","SS","T.J. McDonald",24,"2",11,"1.0 sacks, 0 interceptions, 1 fumble recovered","St. Louis Rams / 3rd / 71st pick / 2013"
"21","FS","Rodney McLeod",25,"3",16,"0.0 sacks, 1 interception, 1 fumble recovered",""
