"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Richard Todd",27,"4",16,"264 for 479, 3,329 yards, 17 td, 30 int, & 49 rushes for 330 yards and 5 td","New York Jets / 1st / 6th pick / 1976"
"3","RB","Scott Dierking",25,"3",13,"156 rushes for 567 yards, 6 td, & 19 catches for 138 yards and 1 td","New York Jets / 4th / 90th pick / 1977"
"4","WR","Lam Jones",22,"Rook",13,"25 catches for 482 yards, 3 td, & 2 rushes for 5 yards and 0 td","New York Jets / 1st / 2nd pick / 1980"
"5","WR","Wesley Walker",25,"3",7,"18 catches for 376 yards, 1 td","New York Jets / 2nd / 33rd pick / 1977"
"6","TE","Jerome Barkum",30,"8",11,"13 catches for 244 yards, 1 td","New York Jets / 1st / 9th pick / 1972"
"7","TE","Mickey Shuler",24,"2",9,"22 catches for 226 yards, 2 td","New York Jets / 3rd / 61st pick / 1978"
"8","LT","Chris Ward",25,"2",14,"","New York Jets / 1st / 4th pick / 1978"
"9","LG","Randy Rasmussen",35,"13",8,"","New York Jets / 12th / 302nd pick / 1967"
"10","C","Joe Fields",27,"5",13,"1 fumble recovered","New York Jets / 14th / 349th pick / 1975"
"11","RG","Dan Alexander",25,"3",16,"","New York Jets / 8th / 200th pick / 1977"
"12","RT","Marvin Powell*",25,"3",15,"1 fumble recovered","New York Jets / 1st / 4th pick / 1977"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Mark Gastineau",24,"1",16,"","New York Jets / 2nd / 41st pick / 1979"
"15","LDT","Abdul Salaam",27,"4",16,"0 interceptions, 1 fumble recovered","New York Jets / 7th / 188th pick / 1976"
"16","RDT","Marty Lyons",23,"1",16,"","New York Jets / 1st / 14th pick / 1979"
"17","RDE","Joe Klecko",27,"3",15,"","New York Jets / 6th / 144th pick / 1977"
"18","LLB","Greg Buttle",26,"4",14,"1 interception, 1 fumble recovered","New York Jets / 3rd / 67th pick / 1976"
"19","MLB","Stan Blinka",23,"1",16,"0 interceptions, 1 fumble recovered","New York Jets / 5th / 125th pick / 1979"
"20","RLB","Ron Crosby",25,"2",16,"2 interceptions, 1 fumble recovered","Detroit Lions / 5th / 114th pick / 1977"
"21","LCB","Bobby Jackson",24,"2",15,"1 interception, 0 fumbles recovered","New York Jets / 6th / 140th pick / 1978"
"22","RCB","Donald Dykes",25,"1",16,"5 interceptions, 0 fumbles recovered","New York Jets / 3rd / 68th pick / 1979"
"23","SS","Ken Schroy",28,"3",10,"8 interceptions, 2 fumbles recovered","Philadelphia Eagles / 10th / 248th pick / 1975"
"24","FS","Darrol Ray",22,"Rook",16,"6 interceptions, 1 fumble recovered","New York Jets / 2nd / 40th pick / 1980"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Pat Leahy",29,"6",0,"14 of 22 field goals & 36 of 36 extra points",""
"27","P","Chuck Ramsey",28,"3",0,"73 punts for a 42.4 average, 1 blocked","New England Patriots / 6th / 141st pick / 1974"
"28","PR","Bruce Harper",25,"3",1,"28 punt returns for a 8.6 average and 0 td",""
"29","KR","Bruce Harper",25,"3",1,"49 kick returns for a 21.8 average and 0 td",""
