"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Jeff George",25,"2",10,"167 for 306, 1,963 yards, 7 td, 15 int, & 14 rushes for 26 yards and 1 td","Indianapolis Colts / 1st / 1st pick / 1990"
"3","RB","Anthony Johnson",25,"2",13,"178 rushes for 592 yards, 0 td, & 49 catches for 517 yards and 3 td","Indianapolis Colts / 2nd / 36th pick / 1990"
"4","WR","Bill Brooks",28,"6",10,"44 catches for 468 yards, 1 td, & 2 rushes for 14 yards and 0 td","Indianapolis Colts / 4th / 86th pick / 1986"
"5","WR","Jessie Hester",29,"7",16,"52 catches for 792 yards, 1 td","Los Angeles Raiders / 1st / 23rd pick / 1985"
"6","WR","Reggie Langhorne",29,"7",12,"65 catches for 811 yards, 1 td, & 1 rush for -7 yards and 0 td","Cleveland Browns / 7th / 175th pick / 1985"
"7","TE","Kerry Cash",23,"1",16,"43 catches for 521 yards, 3 td","Indianapolis Colts / 5th / 125th pick / 1991"
"8","LT","Zefross Moss",26,"3",13,"",""
"9","LG","Randy Dixon",27,"5",15,"","Indianapolis Colts / 4th / 85th pick / 1987"
"10","C","Ray Donaldson",34,"12",16,"","Baltimore Colts / 2nd / 32nd pick / 1980"
"11","RG","Ron Solt",30,"8",12,"","Indianapolis Colts / 1st / 19th pick / 1984"
"12","RT","Kevin Call",31,"8",16,"1 fumble recovered","Indianapolis Colts / 5th / 130th pick / 1984"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Steve Emtman",22,"Rook",9,"3.0 sacks, 1 interception, 0 fumbles recovered","Indianapolis Colts / 1st / 1st pick / 1992"
"15","NT","Tony Siragusa",25,"2",12,"3.0 sacks, 0 interceptions, 1 fumble recovered",""
"16","RDE","Jon Hand",29,"6",9,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Indianapolis Colts / 1st / 4th pick / 1986"
"17","LOLB","Chip Banks",33,"10",16,"9.0 sacks, 1 interception, 1 fumble recovered","Cleveland Browns / 1st / 3rd pick / 1982"
"18","LILB","Scott Radecic",30,"8",9,"0.0 sacks, 1 interception, 1 fumble recovered","Kansas City Chiefs / 2nd / 34th pick / 1984"
"19","RILB","Jeff Herrod",26,"4",16,"2.0 sacks, 1 interception, 0 fumbles recovered","Indianapolis Colts / 9th / 243rd pick / 1988"
"20","ROLB","Duane Bickett",30,"7",15,"6.5 sacks, 1 interception, 2 fumbles recovered","Indianapolis Colts / 1st / 5th pick / 1985"
"21","LCB","Chris Goode",29,"5",15,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Indianapolis Colts / 10th / 253rd pick / 1987"
"22","RCB","Eugene Daniel",31,"8",13,"2.0 sacks, 1 interception, 0 fumbles recovered","Indianapolis Colts / 8th / 205th pick / 1984"
"23","SS","John Baylor",27,"3",15,"3.0 sacks, 1 interception, 2 fumbles recovered","Indianapolis Colts / 5th / 129th pick / 1988"
"24","FS","Mike Prior",29,"7",16,"0.0 sacks, 6 interceptions, 1 fumble recovered","Tampa Bay Buccaneers / 7th / 176th pick / 1985"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Dean Biasucci",30,"8",0,"16 of 29 field goals & 24 of 24 extra points",""
"27","P","Rohn Stark*",33,"10",0,"83 punts for a 44.8 average, 0 blocked","Baltimore Colts / 2nd / 34th pick / 1982"
"28","PR","Clarence Verdin*",29,"6",1,"24 punt returns for a 11.2 average and 2 td","Washington Redskins / 3rd / 83rd pick / 1984 Supp"
"29","KR","Clarence Verdin*",29,"6",1,"39 kick returns for a 20.9 average and 0 td","Washington Redskins / 3rd / 83rd pick / 1984 Supp"
