"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Warren Moon*",41,"13",14,"313 for 528, 3,678 yards, 25 td, 16 int, & 17 rushes for 40 yards and 1 td",""
"3","RB","Chris Warren",29,"7",13,"200 rushes for 847 yards, 4 td, & 45 catches for 257 yards and 0 td","Seattle Seahawks / 4th / 89th pick / 1990"
"4","FB","Mack Strong",26,"3",9,"4 rushes for 8 yards, 0 td, & 13 catches for 91 yards and 2 td",""
"5","WR","Joey Galloway",26,"2",15,"72 catches for 1,049 yards, 12 td, & 9 rushes for 72 yards and 0 td","Seattle Seahawks / 1st / 8th pick / 1995"
"6","WR","Mike Pritchard",28,"6",15,"64 catches for 843 yards, 2 td, & 1 rush for 14 yards and 0 td","Atlanta Falcons / 1st / 13th pick / 1991"
"7","TE","Carlester Crumpler",26,"3",12,"31 catches for 361 yards, 1 td","Seattle Seahawks / 7th / 202nd pick / 1994"
"8","LT","Walter Jones",23,"Rook",12,"","Seattle Seahawks / 1st / 6th pick / 1997"
"9","LG","Pete Kendall",24,"1",16,"","Seattle Seahawks / 1st / 21st pick / 1996"
"10","C","Kevin Mawae",26,"3",16,"2 fumbles recovered","Seattle Seahawks / 2nd / 36th pick / 1994"
"11","RG","Derrick Graham",30,"7",9,"","Kansas City Chiefs / 5th / 124th pick / 1990"
"12","RT","Howard Ballard",34,"9",10,"","Buffalo Bills / 11th / 283rd pick / 1987"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Michael Sinclair*",29,"5",16,"12.0 sacks, 0 interceptions, 1 fumble recovered","Seattle Seahawks / 6th / 155th pick / 1991"
"15","LDT","Sam Adams",24,"3",15,"7.0 sacks, 0 interceptions, 0 fumbles recovered","Seattle Seahawks / 1st / 8th pick / 1994"
"16","RDT","Dan Saleaumua",33,"10",9,"3.5 sacks, 0 interceptions, 1 fumble recovered","Detroit Lions / 7th / 175th pick / 1987"
"17","RDE","Phillip Daniels",24,"1",10,"4.0 sacks, 0 interceptions, 0 fumbles recovered","Seattle Seahawks / 4th / 99th pick / 1996"
"18","LLB","Winston Moss",32,"10",14,"0.0 sacks, 0 interceptions, 1 fumble recovered","Tampa Bay Buccaneers / 2nd / 50th pick / 1987"
"19","MLB","Dean Wells",27,"4",16,"1.0 sacks, 0 interceptions, 1 fumble recovered","Seattle Seahawks / 4th / 85th pick / 1993"
"20","RLB","Chad Brown",27,"4",15,"6.5 sacks, 0 interceptions, 4 fumbles recovered","Pittsburgh Steelers / 2nd / 44th pick / 1993"
"21","LCB","Shawn Springs",22,"Rook",10,"0.0 sacks, 1 interception, 0 fumbles recovered","Seattle Seahawks / 1st / 3rd pick / 1997"
"22","RCB","Willie Williams",27,"4",16,"0.0 sacks, 1 interception, 0 fumbles recovered","Pittsburgh Steelers / 6th / 162nd pick / 1993"
"23","SS","Bennie Blades",31,"9",9,"1.0 sacks, 2 interceptions, 0 fumbles recovered","Detroit Lions / 1st / 3rd pick / 1988"
"24","FS","Darryl Williams*",27,"5",16,"0.0 sacks, 8 interceptions, 1 fumble recovered","Cincinnati Bengals / 1st / 28th pick / 1992"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Todd Peterson",27,"3",0,"22 of 28 field goals & 37 of 37 extra points","New York Giants / 7th / 177th pick / 1993"
"27","P","Rick Tuten",32,"8",0,"48 punts for a 41.8 average, 0 blocked",""
"28","PR","Ronnie Harris",27,"4",0,"21 punt returns for a 6.9 average and 0 td",""
"29","KR","Steve Broussard",30,"7",1,"50 kick returns for a 21.5 average and 0 td","Atlanta Falcons / 1st / 20th pick / 1990"
