"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","RB","DeShaun Foster",27,"4",16,"247 rushes for 876 yards, 3 td, & 25 catches for 182 yards and 1 td","Carolina Panthers / 2nd / 34th pick / 2002"
"3","FB","Brad Hoover",31,"7",12,"12 rushes for 39 yards, 0 td, & 10 catches for 58 yards and 0 td",""
"4","WR","Keary Colbert",25,"3",8,"32 catches for 332 yards, 0 td","Carolina Panthers / 2nd / 62nd pick / 2004"
"5","WR","Steve Smith",28,"6",15,"87 catches for 1,002 yards, 7 td, & 9 rushes for 66 yards and 0 td","Carolina Panthers / 3rd / 74th pick / 2001"
"6","TE","Jeff King",24,"1",16,"46 catches for 406 yards, 2 td","Carolina Panthers / 5th / 155th pick / 2006"
"7","LT","Travelle Wharton",26,"3",16,"","Carolina Panthers / 3rd / 94th pick / 2004"
"8","LG","Mike Wahle",30,"9",16,"","Green Bay Packers / 2nd / 1st pick / 1998 Supp"
"9","C","Justin Hartwig",29,"5",15,"1 fumble recovered","Tennessee Titans / 6th / 187th pick / 2002"
"10","RG","Jeremy Bridges",27,"3",10,"","Philadelphia Eagles / 6th / 185th pick / 2003"
"11","RT","Jordan Gross",27,"4",16,"1 fumble recovered","Carolina Panthers / 1st / 8th pick / 2003"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Julius Peppers",27,"5",14,"","Carolina Panthers / 1st / 2nd pick / 2002"
"14","DE","Mike Rucker",32,"8",16,"","Carolina Panthers / 2nd / 38th pick / 1999"
"15","LDT","Ma'ake Kemoeatu",28,"5",13,"",""
"16","RDT","Kris Jenkins",28,"6",15,"2.5 sacks, 0 interceptions, 0 fumbles recovered","Carolina Panthers / 2nd / 44th pick / 2001"
"17","MLB","Jon Beason",22,"Rook",16,"0.0 sacks, 1 interception, 1 fumble recovered","Carolina Panthers / 1st / 25th pick / 2007"
"18","LB","Thomas Davis",24,"2",16,"","Carolina Panthers / 1st / 14th pick / 2005"
"19","LB","Na'il Diggs",29,"7",9,"","Green Bay Packers / 4th / 98th pick / 2000"
"20","LCB","Chris Gamble",24,"3",12,"0.0 sacks, 1 interception, 1 fumble recovered","Carolina Panthers / 1st / 28th pick / 2004"
"21","RCB","Ken Lucas",28,"6",16,"0.0 sacks, 2 interceptions, 2 fumbles recovered","Seattle Seahawks / 2nd / 40th pick / 2001"
"22","SS","Chris Harris",25,"2",15,"0.0 sacks, 1 interception, 3 fumbles recovered","Chicago Bears / 6th / 181st pick / 2005"
"23","FS","Deke Cooper",30,"5",15,"0.0 sacks, 3 interceptions, 0 fumbles recovered",""
