"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Tony Banks",24,"1",16,"252 for 487, 3,254 yards, 14 td, 13 int, & 47 rushes for 186 yards and 1 td","St. Louis Rams / 2nd / 42nd pick / 1996"
"3","RB","Lawrence Phillips",22,"1",9,"183 rushes for 633 yards, 8 td, & 10 catches for 33 yards and 0 td","St. Louis Rams / 1st / 6th pick / 1996"
"4","FB","Craig Heyward",31,"9",12,"34 rushes for 84 yards, 1 td, & 8 catches for 77 yards and 0 td","New Orleans Saints / 1st / 24th pick / 1988"
"5","WR","Isaac Bruce",25,"3",12,"56 catches for 815 yards, 5 td","Los Angeles Rams / 2nd / 33rd pick / 1994"
"6","WR","Eddie Kennison",24,"1",9,"25 catches for 404 yards, 0 td, & 3 rushes for 13 yards and 0 td","St. Louis Rams / 1st / 18th pick / 1996"
"7","TE","Ernie Conwell",25,"1",16,"38 catches for 404 yards, 4 td","St. Louis Rams / 2nd / 59th pick / 1996"
"8","LT","Orlando Pace",22,"Rook",9,"1 fumble recovered","St. Louis Rams / 1st / 1st pick / 1997"
"9","LG","John Gerak",27,"4",16,"","Minnesota Vikings / 3rd / 57th pick / 1993"
"10","C","Mike Gruttadauria",25,"1",14,"",""
"11","RG","Zach Wiegert",25,"2",15,"4 fumbles recovered","St. Louis Rams / 2nd / 38th pick / 1995"
"12","RT","Wayne Gandy",26,"3",16,"","Los Angeles Rams / 1st / 15th pick / 1994"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Kevin Carter",24,"2",16,"7.5 sacks, 0 interceptions, 2 fumbles recovered","St. Louis Rams / 1st / 6th pick / 1995"
"15","LDT","Bill Johnson",29,"5",16,"4.0 sacks, 0 interceptions, 1 fumble recovered","Cleveland Browns / 3rd / 65th pick / 1992"
"16","RDT","D'Marco Farr",26,"3",16,"3.0 sacks, 1 interception, 2 fumbles recovered",""
"17","RDE","Leslie O'Neal",33,"11",14,"10.0 sacks, 1 interception, 2 fumbles recovered","San Diego Chargers / 1st / 8th pick / 1986"
"18","LLB","Mike Jones",28,"6",16,"2.0 sacks, 1 interception, 0 fumbles recovered",""
"19","MLB","Robert Jones",28,"5",15,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 1st / 24th pick / 1992"
"20","RLB","Roman Phifer",29,"6",15,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Los Angeles Rams / 2nd / 31st pick / 1991"
"21","LCB","Todd Lyght",28,"6",16,"1.0 sacks, 4 interceptions, 2 fumbles recovered","Los Angeles Rams / 1st / 5th pick / 1991"
"22","RCB","Ryan McNeil",27,"4",16,"0.0 sacks, 9 interceptions, 1 fumble recovered","Detroit Lions / 2nd / 33rd pick / 1993"
"23","SS","Toby Wright",27,"3",11,"0.0 sacks, 0 interceptions, 1 fumble recovered","Los Angeles Rams / 2nd / 49th pick / 1994"
"24","FS","Keith Lyle",25,"3",16,"2.0 sacks, 8 interceptions, 0 fumbles recovered","Los Angeles Rams / 3rd / 71st pick / 1994"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Jeff Wilkins",25,"3",0,"25 of 37 field goals & 32 of 32 extra points",""
"27","P","Mike Horan",38,"13",0,"53 punts for a 42.9 average, 0 blocked","Atlanta Falcons / 9th / 235th pick / 1982"
"28","PR","Eddie Kennison",24,"1",9,"34 punt returns for a 7.3 average and 0 td","St. Louis Rams / 1st / 18th pick / 1996"
"29","KR","David Thompson",22,"Rook",0,"49 kick returns for a 22.7 average and 0 td",""
