"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Brian Griese",29,"6",10,"233 for 336, 2,632 yards, 20 td, 12 int, & 30 rushes for 17 yards and 0 td","Denver Broncos / 3rd / 91st pick / 1998"
"3","RB","Michael Pittman",29,"6",13,"219 rushes for 926 yards, 7 td, & 41 catches for 391 yards and 3 td","Arizona Cardinals / 4th / 95th pick / 1998"
"4","FB","Mike Alstott",31,"8",11,"67 rushes for 230 yards, 2 td, & 29 catches for 202 yards and 0 td","Tampa Bay Buccaneers / 2nd / 35th pick / 1996"
"5","WR","Michael Clayton",22,"Rook",13,"80 catches for 1,193 yards, 7 td, & 5 rushes for 30 yards and 0 td","Tampa Bay Buccaneers / 1st / 15th pick / 2004"
"6","TE","Ken Dilger",33,"9",14,"39 catches for 345 yards, 3 td","Indianapolis Colts / 2nd / 48th pick / 1995"
"7","LT","Derrick Deese",34,"10",16,"",""
"8","LG","Matt Stinchcomb",27,"4",16,"","Oakland Raiders / 1st / 18th pick / 1999"
"9","C","John Wade",29,"6",8,"","Jacksonville Jaguars / 5th / 148th pick / 1998"
"10","RG","Cosey Coleman",26,"4",16,"","Tampa Bay Buccaneers / 2nd / 51st pick / 2000"
"11","RT","Kenyatta Walker",25,"3",11,"","Tampa Bay Buccaneers / 1st / 14th pick / 2001"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Simeon Rice",30,"8",16,"","Arizona Cardinals / 1st / 3rd pick / 1996"
"14","DE","Greg Spires",30,"6",16,"","New England Patriots / 3rd / 83rd pick / 1998"
"15","DT","Chartric Darby",29,"3",16,"",""
"16","MLB","Shelton Quarles",33,"7",15,"3.5 sacks, 0 interceptions, 0 fumbles recovered",""
"17","LB","Derrick Brooks*+",31,"9",16,"","Tampa Bay Buccaneers / 1st / 28th pick / 1995"
"18","LB","Ian Gold",26,"4",13,"","Denver Broncos / 2nd / 40th pick / 2000"
"19","LCB","Brian Kelly",28,"6",16,"0.0 sacks, 4 interceptions, 1 fumble recovered","Tampa Bay Buccaneers / 2nd / 45th pick / 1998"
"20","RCB","Ronde Barber*+",29,"7",16,"3.0 sacks, 3 interceptions, 2 fumbles recovered","Tampa Bay Buccaneers / 3rd / 66th pick / 1997"
"21","SS","Dwight Smith",26,"3",16,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Tampa Bay Buccaneers / 3rd / 84th pick / 2001"
"22","FS","Jermaine Phillips",25,"2",9,"1.0 sacks, 1 interception, 0 fumbles recovered","Tampa Bay Buccaneers / 5th / 157th pick / 2002"
