"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Timm Rosenbach",24,"1",16,"237 for 437, 3,098 yards, 16 td, 17 int, & 86 rushes for 470 yards and 3 td","Phoenix Cardinals / 1st / 2nd pick / 1989 Supp"
"3","RB","Johnny Johnson*",22,"Rook",14,"234 rushes for 926 yards, 5 td, & 25 catches for 241 yards and 0 td","Phoenix Cardinals / 7th / 169th pick / 1990"
"4","WR","Roy Green",33,"11",16,"53 catches for 797 yards, 4 td","St. Louis Cardinals / 4th / 89th pick / 1979"
"5","WR","Ernie Jones",26,"2",8,"43 catches for 724 yards, 4 td, & 4 rushes for 33 yards and 0 td","Phoenix Cardinals / 7th / 179th pick / 1988"
"6","TE","Tim Jorden",24,"Rook",11,"2 catches for 10 yards, 0 td",""
"7","TE","Walter Reeves",25,"1",16,"18 catches for 126 yards, 0 td","Phoenix Cardinals / 2nd / 40th pick / 1989"
"8","LT","Luis Sharpe",30,"8",16,"","St. Louis Cardinals / 1st / 16th pick / 1982"
"9","LG","Derek Kennard",28,"4",16,"","St. Louis Cardinals / 2nd / 45th pick / 1984 Supp"
"10","C","Bill Lewis",27,"4",16,"","Los Angeles Raiders / 7th / 191st pick / 1986"
"11","RG","Lance Smith",27,"5",16,"","St. Louis Cardinals / 3rd / 72nd pick / 1985"
"12","RT","Tootie Robbins",32,"8",16,"1 fumble recovered","St. Louis Cardinals / 4th / 90th pick / 1982"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Freddie Joe Nunn",28,"5",16,"9.0 sacks, 0 interceptions, 1 fumble recovered","St. Louis Cardinals / 1st / 18th pick / 1985"
"15","NT","Jim Wahler",24,"1",16,"2.5 sacks, 0 interceptions, 0 fumbles recovered","Phoenix Cardinals / 4th / 94th pick / 1989"
"16","RDE","Rod Saddler",25,"3",15,"4.0 sacks, 0 interceptions, 2 fumbles recovered","St. Louis Cardinals / 4th / 90th pick / 1987"
"17","LOLB","Anthony Bell",26,"4",16,"3.0 sacks, 1 interception, 0 fumbles recovered","St. Louis Cardinals / 1st / 5th pick / 1986"
"18","LILB","Garth Jax",27,"4",12,"3.0 sacks, 2 interceptions, 0 fumbles recovered","Dallas Cowboys / 11th / 296th pick / 1986"
"19","RILB","Eric Hill",24,"1",16,"1.5 sacks, 0 interceptions, 0 fumbles recovered","Phoenix Cardinals / 1st / 10th pick / 1989"
"20","ROLB","Ken Harvey",25,"2",16,"10.0 sacks, 0 interceptions, 1 fumble recovered","Phoenix Cardinals / 1st / 12th pick / 1988"
"21","LCB","Jay Taylor",23,"1",16,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Phoenix Cardinals / 6th / 150th pick / 1989"
"22","RCB","Cedric Mack",30,"7",16,"1.0 sacks, 2 interceptions, 1 fumble recovered","St. Louis Cardinals / 2nd / 44th pick / 1983"
"23","SS","Tim McDonald",25,"3",16,"0.0 sacks, 4 interceptions, 1 fumble recovered","St. Louis Cardinals / 2nd / 34th pick / 1987"
"24","FS","Lonnie Young",27,"5",16,"0.0 sacks, 2 interceptions, 2 fumbles recovered","St. Louis Cardinals / 12th / 325th pick / 1985"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Al Del Greco",28,"6",0,"17 of 27 field goals & 31 of 31 extra points",""
"27","P","Rich Camarillo",31,"9",0,"67 punts for a 42.8 average, 0 blocked",""
"28","PR","Vai Sikahema",28,"4",0,"36 punt returns for a 8.5 average and 0 td","St. Louis Cardinals / 10th / 254th pick / 1986"
"29","KR","Vai Sikahema",28,"4",0,"27 kick returns for a 20.1 average and 0 td","St. Louis Cardinals / 10th / 254th pick / 1986"
